USSCIDN,SENTYR
1365065,2010
1365066,2010
1365069,2010
1365070,2010
1365072,2010
1365073,2010
1365074,2010
1365075,2010
1365076,2010
1365082,2010
1365083,2010
1365084,2010
1365085,2010
1365086,2010
1365087,2010
1365088,2010
1365090,2010
1365097,2010
1365098,2010
1365099,2010
1365100,2010
1365101,2010
1365102,2010
1365104,2010
1365359,2010
1365361,2010
1365362,2010
1365363,2010
1365364,2010
1365365,2010
1365366,2010
1365367,2010
1365368,2010
1365369,2010
1365370,2010
1365371,2010
1365372,2010
1365373,2010
1365374,2010
1365375,2010
1365381,2010
1365382,2010
1365384,2010
1365385,2010
1365386,2010
1365387,2010
1365388,2010
1365389,2010
1365390,2010
1365391,2010
1365392,2010
1365393,2010
1365394,2010
1365395,2010
1365396,2010
1365397,2010
1365399,2010
1365400,2010
1365402,2010
1365403,2010
1365404,2010
1365406,2010
1365418,2010
1365419,2010
1365420,2010
1365421,2010
1365422,2010
1365423,2010
1365424,2010
1365426,2010
1365427,2010
1365428,2010
1365429,2010
1365430,2010
1365673,2010
1365676,2010
1365700,2010
1365701,2010
1365702,2010
1365704,2010
1365706,2010
1365707,2010
1365708,2010
1365709,2010
1365710,2010
1365711,2010
1365712,2010
1365713,2010
1365714,2010
1365715,2010
1365716,2010
1365718,2010
1365719,2010
1365720,2010
1365721,2010
1365723,2010
1365724,2010
1365725,2010
1365726,2010
1365727,2010
1365728,2010
1365729,2010
1365730,2010
1365731,2010
1365732,2010
1365734,2010
1365735,2010
1365736,2010
1365737,2010
1365739,2010
1365740,2010
1365742,2010
1365743,2010
1365744,2010
1365746,2010
1365747,2010
1365748,2010
1365749,2010
1365750,2010
1365752,2010
1365753,2010
1365754,2010
1365755,2010
1365757,2010
1365758,2010
1365759,2010
1365760,2010
1365761,2010
1365762,2010
1365763,2010
1365764,2010
1365765,2010
1365766,2010
1365767,2010
1365768,2010
1365769,2010
1365770,2010
1365771,2010
1365772,2010
1365773,2010
1365774,2010
1365776,2010
1365777,2010
1365778,2010
1365779,2010
1365780,2010
1365781,2010
1365782,2010
1365783,2010
1365784,2010
1365786,2010
1365787,2010
1365788,2010
1365789,2010
1365792,2010
1365793,2010
1365797,2010
1365798,2010
1365803,2010
1365805,2010
1365807,2010
1366148,2010
1366149,2010
1366150,2010
1366151,2010
1366152,2010
1366153,2010
1366154,2010
1366155,2010
1366156,2010
1366161,2010
1366162,2010
1366163,2010
1366164,2010
1366165,2010
1366166,2010
1366167,2010
1366168,2010
1366169,2010
1366170,2010
1366171,2010
1366172,2010
1366176,2010
1366177,2010
1366178,2010
1366179,2010
1366180,2010
1366181,2010
1366182,2010
1366183,2010
1366184,2010
1366186,2010
1366188,2010
1366189,2010
1366190,2010
1366191,2010
1366192,2010
1366193,2010
1366194,2010
1366195,2010
1366196,2010
1366198,2010
1366199,2010
1366200,2010
1366201,2010
1366202,2010
1366203,2010
1366204,2010
1366205,2010
1366206,2010
1366207,2010
1366208,2010
1366209,2010
1366210,2010
1366211,2010
1366212,2010
1366213,2010
1366214,2010
1366215,2010
1366217,2010
1366218,2010
1366219,2010
1366220,2010
1366221,2010
1366222,2010
1366223,2010
1366224,2010
1366225,2010
1366226,2010
1366227,2010
1366228,2010
1366229,2010
1366230,2010
1366231,2010
1366232,2010
1366233,2010
1366234,2010
1366235,2010
1366236,2010
1366237,2010
1366238,2010
1366239,2010
1366240,2010
1366242,2010
1366243,2010
1366244,2010
1366245,2010
1366246,2010
1366248,2010
1366249,2010
1366259,2010
1366260,2010
1366261,2010
1366262,2010
1366265,2010
1366267,2010
1366268,2010
1366270,2010
1366271,2010
1366273,2010
1366275,2010
1366276,2010
1366277,2010
1366278,2010
1366279,2010
1366280,2010
1366282,2010
1366283,2010
1366284,2010
1366285,2010
1366286,2010
1366287,2010
1366288,2010
1366289,2010
1366290,2010
1366303,2010
1366414,2010
1366417,2010
1366418,2010
1366419,2010
1366420,2010
1366425,2010
1366440,2010
1366452,2010
1366454,2010
1366455,2010
1366456,2010
1366465,2010
1366466,2010
1366467,2010
1366468,2010
1366469,2010
1366470,2010
1366472,2010
1366473,2010
1366474,2010
1366475,2010
1366476,2010
1366478,2010
1366479,2010
1366480,2010
1366482,2010
1366483,2010
1366484,2010
1366486,2010
1366487,2010
1366489,2010
1366491,2010
1366492,2010
1366494,2010
1366495,2010
1366496,2010
1366497,2010
1366498,2010
1366499,2010
1366500,2010
1366501,2010
1366502,2010
1366503,2010
1366504,2010
1366505,2010
1366506,2010
1366507,2010
1366508,2010
1366509,2010
1366510,2010
1366511,2010
1366512,2010
1366513,2010
1366514,2010
1366515,2010
1366516,2010
1366517,2010
1366518,2010
1366519,2010
1366522,2010
1366525,2010
1366526,2010
1366527,2010
1366528,2010
1366529,2010
1366530,2010
1366531,2010
1366532,2010
1366533,2010
1366534,2010
1366535,2010
1366536,2010
1366537,2010
1366538,2010
1366539,2010
1366540,2010
1366541,2010
1366542,2010
1366543,2010
1366544,2010
1366545,2010
1366546,2010
1366547,2010
1366548,2010
1366549,2010
1366550,2010
1366551,2010
1366552,2010
1366553,2010
1366554,2010
1366555,2010
1366556,2010
1366557,2010
1366558,2010
1366559,2010
1366561,2010
1366562,2010
1366563,2010
1366564,2010
1366565,2010
1366566,2010
1366567,2010
1366568,2010
1366569,2010
1366571,2010
1366572,2010
1366573,2010
1366574,2010
1366575,2010
1366576,2010
1366577,2010
1366578,2010
1366579,2010
1366580,2010
1366581,2010
1366582,2010
1366583,2010
1366586,2010
1366587,2010
1366588,2010
1366589,2010
1366590,2010
1366591,2010
1366592,2010
1366593,2010
1366594,2010
1366595,2010
1366596,2010
1366597,2010
1366598,2010
1366599,2010
1366600,2010
1366601,2010
1366602,2010
1366603,2010
1366604,2010
1366605,2010
1366606,2010
1366607,2010
1366608,2010
1366609,2010
1366610,2010
1366611,2010
1366612,2010
1366613,2010
1366614,2010
1366615,2010
1366616,2010
1366617,2010
1366618,2010
1366619,2010
1366620,2010
1366621,2010
1366622,2010
1366623,2010
1366624,2010
1366625,2010
1366626,2010
1366627,2010
1366628,2010
1366629,2010
