USSCIDN,OFFGUIDE,SENTRNGE,MNTHDEPT,PCNTDEPT,SENTTCAP,SENSPCAP
2282001,13,0,,,30,30
2282067,17,0,,,1.1,1.1
2282068,17,0,,,1.07,1.07
2282102,17,0,,,48,48
2282108,21,8,14,14.432989691,83,83
2282112,13,0,,,84,84
2282131,29,2,6,33.333333333,12,12
2282141,10,0,,,324,324
2282177,10,0,,,41,41
2282183,17,4,6,18.181818182,27,27
2282238,16,0,,,0.0328515112,0.0328515112
2282249,26,0,,,87,87
2282265,17,3,4.61,76.833333333,1.39,1.39
2282266,16,8,9.9671484888,99.671484888,0.0328515112,0.0328515112
2282275,10,0,,,12.03,12.03
2282277,10,4,31,20.529801325,120,120
2282281,17,0,,,46,46
2282289,10,4,115,48.936170213,120,120
2282291,7,0,,,121,121
2282303,10,2,56,33.333333333,112,112
2282304,17,0,,,14,14
2282305,10,2,151,100,,0
2282311,10,3,33,57.894736842,24,24
2282312,17,3,5.87,58.7,4.13,4.13
2282315,17,0,,,21,21
2282327,10,0,,,71,71
2282329,17,0,,,1.1,1.1
2282350,10,8,6,33.333333333,12,12
2282355,17,0,,,14,14
2282368,24,8,3,16.666666667,15,15
2282432,13,0,,,39.23,39.23
2282435,7,8,50.97,80.904761905,12.03,12.03
2282436,10,0,,,18,18
2282437,5,0,,,60,60
2282440,17,0,,,77,77
2282448,17,0,,,70,70
2282451,10,8,,,0.0328515112,10.032851511
2282459,16,0,,,27,27
2282460,1,7,3,25,9,9
2282479,10,3,120,71.428571429,48,48
2282484,10,0,,,24,24
2282488,10,0,,,135,135
2282492,10,8,15,17.24137931,72,72
2282511,1,7,18,100,,0
2282529,10,0,,,10,10
2282530,16,2,73,75.257731959,24,24
2282539,17,0,,,7,7
2282545,7,0,,,120,120
2282651,10,2,38,28.148148148,97,97
2282652,10,0,,,18,18
2282658,16,2,7,18.918918919,30,30
2282660,10,8,111,42.366412214,151,151
2282695,12,8,7,70,3,3
2282713,17,0,,,2.4,2.4
2282724,16,0,,,,6
2282726,17,8,23,56.097560976,18,18
2282730,10,8,6,100,,0
2282737,7,8,39,28.888888889,96,96
2282744,20,6,59,159.45945946,96,96
2282746,10,4,11,19.298245614,46,46
2282747,17,3,6,18.181818182,27,27
2282757,13,8,2,20,8,8
2282761,10,8,7,18.918918919,30,30
2282764,13,0,,,18,18
2282765,27,8,68,36.170212766,120,120
2282766,17,0,,,3.66,3.66
2282770,16,0,,,,0
2282778,17,0,,,2,2
2282783,10,0,,,31,31
2282797,25,,,,1.49,1.49
2282798,10,7,3,9.0909090909,30,30
2282800,17,0,,,4,4
2282803,13,6,90,150,150,150
2282804,16,0,,,,0
2282814,10,0,,,120,120
2282815,17,0,,,15,15
2282826,10,0,,,9,9
2282843,13,0,,,120,120
2282847,17,0,,,1.39,1.39
