USSCIDN,SENTYR
1456858,2011
1456973,2011
1456974,2011
1456975,2011
1456976,2011
1456995,2011
1456996,2011
1456997,2011
1456998,2011
1456999,2011
1457000,2011
1457001,2011
1457002,2011
1457017,2011
1457018,2011
1457019,2011
1457020,2011
1457036,2011
1457046,2011
1457047,2011
1457048,2011
1457049,2011
1457050,2011
1457051,2011
1457052,2011
1457053,2011
1457054,2011
1457055,2011
1457056,2011
1457057,2011
1457058,2011
1457061,2011
1457062,2011
1457063,2011
1457064,2011
1457065,2011
1457066,2011
1457067,2011
1457068,2011
1457069,2011
1457070,2011
1457071,2011
1457072,2011
1457073,2011
1457074,2011
1457075,2011
1457076,2011
1457077,2011
1457078,2011
1457079,2011
1457080,2011
1457081,2011
1457082,2011
1457083,2011
1457084,2011
1457085,2011
1457086,2011
1457087,2011
1457088,2011
1457089,2011
1457090,2011
1457091,2011
1457092,2011
1457093,2011
1457094,2011
1457095,2011
1457096,2011
1457097,2011
1457098,2011
1457099,2011
1457100,2011
1457101,2011
1457102,2011
1457103,2011
1457104,2011
1457105,2011
1457106,2011
1457107,2011
1457108,2011
1457109,2011
1457110,2011
1457111,2011
1457112,2011
1457113,2011
1457114,2011
1457115,2011
1457116,2011
1457117,2011
1457118,2011
1457119,2011
1457120,2011
1457121,2011
1457122,2011
1457123,2011
1457124,2011
1457125,2011
1457126,2011
1457127,2011
1457128,2011
1457129,2011
1457130,2011
1457131,2011
1457132,2011
1457133,2011
1457134,2011
1457135,2011
1457136,2011
1457155,2011
1457361,2011
1457362,2011
1457363,2011
1457364,2011
1457365,2011
1457366,2011
1457367,2011
1457369,2011
1457370,2011
1457371,2011
1457372,2011
1457373,2011
1457374,2011
1457375,2011
1457376,2011
1457378,2011
1457379,2011
1457380,2011
1457381,2011
1457382,2011
1457384,2011
1457386,2011
1457387,2011
1457388,2011
1457389,2011
1457390,2011
1457391,2011
1457392,2011
1457393,2011
1457394,2011
1457395,2011
1457396,2011
1457397,2011
1457398,2011
1457399,2011
1457400,2011
1457401,2011
1457402,2011
1457403,2011
1457404,2011
1457405,2011
1457406,2011
1457407,2011
1457408,2011
1457409,2011
1457410,2011
1457411,2011
1457412,2011
1457413,2011
1457414,2011
1457415,2011
1457416,2011
1457417,2011
1457418,2011
1457419,2011
1457420,2011
1457421,2011
1457422,2011
1457423,2011
1457424,2011
1457425,2011
1457426,2011
1457427,2011
1457428,2011
1457429,2011
1457430,2011
1457431,2011
1457432,2011
1457433,2011
1457434,2011
1457435,2011
1457436,2011
1457437,2011
1457438,2011
1457440,2011
1457442,2011
1457443,2011
1457444,2011
1457445,2011
1457446,2011
1457447,2011
1457448,2011
1457449,2011
1457450,2011
1457452,2011
1457455,2011
1457456,2011
1457457,2011
1457458,2011
1457460,2011
1457461,2011
1457462,2011
1457463,2011
1457464,2011
1457465,2011
1457467,2011
1457468,2011
1457469,2011
1457470,2011
1457471,2011
1457472,2011
1457473,2011
1457474,2011
1457475,2011
1457476,2011
1457477,2011
1457478,2011
1457479,2011
1457480,2011
1457481,2011
1457482,2011
1457483,2011
1457484,2011
1457485,2011
1457486,2011
1457487,2011
1457488,2011
1457490,2011
1457492,2011
1457493,2011
1457494,2011
1457495,2011
1457496,2011
1457497,2011
1457498,2011
1457499,2011
1457500,2011
1457501,2011
1457502,2011
1457503,2011
1457504,2011
1457505,2011
1457506,2011
1457507,2011
1457508,2011
1457509,2011
1457510,2011
1457511,2011
1457512,2011
1457513,2011
1457514,2011
1457517,2011
1457518,2011
1457519,2011
1457520,2011
1457521,2011
1457522,2011
1457523,2011
1457524,2011
1457525,2011
1457526,2011
1457527,2011
1457751,2011
1457753,2011
1457754,2011
1457755,2011
1457771,2011
1457774,2011
1457775,2011
1457776,2011
1457777,2011
1457778,2011
1457779,2011
1457780,2011
1457781,2011
1457782,2011
1457783,2011
1457784,2011
1457785,2011
1457786,2011
1457788,2011
1457789,2011
1457790,2011
1457791,2011
1457792,2011
1457793,2011
1457794,2011
1457795,2011
1457796,2011
1457797,2011
1457798,2011
1457799,2011
1457800,2011
1457801,2011
1457802,2011
1457803,2011
1457804,2011
1457805,2011
1457806,2011
1457807,2011
1457808,2011
1457809,2011
1457810,2011
1457811,2011
1457812,2011
1457813,2011
1457814,2011
1457815,2011
1457816,2011
1457817,2011
1457819,2011
1457820,2011
1457821,2011
1457822,2011
1457823,2011
1457824,2011
1457825,2011
1457826,2011
1457827,2011
1457828,2011
1457829,2011
1457830,2011
1457831,2011
1457832,2011
1457833,2011
1457834,2011
1457835,2011
1457836,2011
1457837,2011
1457838,2011
1457839,2011
1457841,2011
1457842,2011
1457843,2011
1457844,2011
1457845,2011
1457846,2011
1457847,2011
1457848,2011
1457849,2011
1457850,2011
1457851,2011
1457852,2011
1457853,2011
1457854,2011
1457856,2011
1457857,2011
1457858,2011
1457859,2011
1457860,2011
1457861,2011
1457862,2011
1457863,2011
1457864,2011
1457865,2011
1457866,2011
1457867,2011
1457868,2011
1457870,2011
1457871,2011
1457872,2011
1457873,2011
1457874,2011
1457875,2011
1457876,2011
1457877,2011
1457878,2011
1457880,2011
1457881,2011
1457882,2011
1457883,2011
1457884,2011
1457885,2011
1457886,2011
1457887,2011
1457888,2011
1457890,2011
1457891,2011
1457892,2011
1457893,2011
1457894,2011
1457895,2011
1457896,2011
1457897,2011
1457898,2011
1457899,2011
1457900,2011
1457901,2011
1457902,2011
1457903,2011
1457905,2011
1457906,2011
1457907,2011
1457908,2011
1457909,2011
1457910,2011
1457911,2011
1457917,2011
1457919,2011
1457920,2011
1457921,2011
1457922,2011
1457924,2011
1457925,2011
1457926,2011
1457927,2011
1457928,2011
1457929,2011
1457930,2011
1457931,2011
1457932,2011
1457933,2011
1457934,2011
1457935,2011
1457936,2011
1457937,2011
1457938,2011
1457939,2011
1457940,2011
1458147,2011
1458152,2011
1458153,2011
1458154,2011
1458155,2011
1458156,2011
1458171,2011
1458173,2011
1458174,2011
1458176,2011
1458179,2011
1458180,2011
1458181,2011
1458182,2011
1458183,2011
1458185,2011
1458186,2011
1458187,2011
1458188,2011
1458190,2011
1458191,2011
1458192,2011
1458193,2011
1458194,2011
1458195,2011
1458196,2011
1458197,2011
1458198,2011
1458199,2011
1458200,2011
1458201,2011
1458202,2011
1458203,2011
1458204,2011
1458205,2011
1458206,2011
1458207,2011
1458208,2011
1458209,2011
1458210,2011
1458211,2011
1458212,2011
1458214,2011
1458215,2011
1458216,2011
1458217,2011
1458218,2011
1458219,2011
1458220,2011
1458221,2011
1458224,2011
1458225,2011
1458226,2011
1458227,2011
1458229,2011
1458230,2011
1458231,2011
1458232,2011
1458233,2011
1458234,2011
1458235,2011
1458236,2011
1458237,2011
1458238,2011
1458239,2011
1458240,2011
1458241,2011
1458242,2011
1458243,2011
1458244,2011
1458245,2011
1458246,2011
1458247,2011
1458248,2011
1458249,2011
1458250,2011
1458251,2011
1458252,2011
1458253,2011
1458254,2011
1458255,2011
1458256,2011
1458257,2011
1458258,2011
1458259,2011
1458261,2011
1458262,2011
1458263,2011
1458264,2011
1458265,2011
1458266,2011
1458267,2011
1458268,2011
1458269,2011
1458270,2011
1458271,2011
1458272,2011
1458273,2011
1458274,2011
1458275,2011
1458276,2011
1458277,2011
1458280,2011
1458281,2011
1458282,2011
1458283,2011
1458284,2011
1458285,2011
1458286,2011
1458287,2011
1458288,2011
1458289,2011
1458290,2011
1458291,2011
1458292,2011
1458293,2011
1458294,2011
1458295,2011
1458296,2011
1458297,2011
1458298,2011
1458299,2011
1458300,2011
1458301,2011
1458302,2011
1458303,2011
1458304,2011
1458305,2011
1458306,2011
1458307,2011
1458308,2011
1458309,2011
1458310,2011
1458311,2011
1458313,2011
1458314,2011
1458315,2011
1458316,2011
1458317,2011
1458318,2011
1458319,2011
1458320,2011
1458321,2011
1458322,2011
1458323,2011
1458324,2011
1458325,2011
1458326,2011
1458327,2011
