USSCIDN,SENTYR
1185318,2008
1185319,2008
1185616,2008
1185618,2008
1185619,2008
1185779,2008
1185946,2008
1185947,2008
1185948,2008
1185950,2008
1185952,2008
1185953,2008
1185955,2008
1185956,2008
1185957,2008
1185958,2008
1185959,2008
1185960,2008
1185963,2008
1185964,2008
1185965,2008
1185966,2008
1185969,2008
1185972,2008
1185973,2008
1185974,2008
1185975,2008
1185976,2008
1185977,2008
1185978,2008
1185979,2008
1185980,2008
1185981,2008
1185982,2008
1185983,2008
1185984,2008
1185985,2008
1185986,2008
1185987,2008
1185988,2008
1185989,2008
1185990,2008
1185991,2008
1185992,2008
1185993,2008
1185994,2008
1185995,2008
1185997,2008
1185999,2008
1186281,2008
1186282,2008
1186283,2008
1186284,2008
1186285,2008
1186287,2008
1186288,2008
1186289,2008
1186290,2008
1186291,2008
1186292,2008
1186293,2008
1186295,2008
1186296,2008
1186298,2008
1186300,2008
1186301,2008
1186302,2008
1186303,2008
1186304,2008
1186305,2008
1186306,2008
1186307,2008
1186308,2008
1186309,2008
1186310,2008
1186311,2008
1186312,2008
1186313,2008
1186314,2008
1186315,2008
1186316,2008
1186317,2008
1186318,2008
1186319,2008
1186549,2008
1186550,2008
1186553,2008
1186554,2008
1186555,2008
1186556,2008
1186557,2008
1186558,2008
1186559,2008
1186560,2008
1186562,2008
1186564,2008
1186565,2008
1186566,2008
1186567,2008
1186570,2008
1186571,2008
1186572,2008
1186573,2008
1186574,2008
1186575,2008
1186576,2008
1186577,2008
1186579,2008
1186581,2008
1186582,2008
1186584,2008
1186585,2008
1186586,2008
1186587,2008
1186588,2008
1186589,2008
1186590,2008
1186591,2008
1186592,2008
1186593,2008
1186594,2008
1186596,2008
1186598,2008
1186599,2008
1186600,2008
1186603,2008
1186604,2008
1186606,2008
1186607,2008
1186608,2008
1186609,2008
1186610,2008
1186611,2008
1186612,2008
1186613,2008
1186614,2008
1186615,2008
1186616,2008
1186617,2008
1186618,2008
1186619,2008
1186620,2008
1186621,2008
1186622,2008
1186623,2008
1186624,2008
1186625,2008
1186626,2008
1186627,2008
1186783,2008
1186786,2008
1186787,2008
1186788,2008
1186790,2008
1186791,2008
1186792,2008
1186793,2008
1186794,2008
1186795,2008
1186796,2008
1186797,2008
1186798,2008
1186799,2008
1186800,2008
1186801,2008
1186802,2008
1186803,2008
1186804,2008
1186805,2008
1186807,2008
1186808,2008
1186810,2008
1186812,2008
1186817,2008
1186818,2008
1186819,2008
1186820,2008
1186821,2008
1186822,2008
1186823,2008
1186824,2008
1186825,2008
1186826,2008
1186827,2008
1186828,2008
1186829,2008
1186830,2008
1186831,2008
1186832,2008
1186833,2008
1186834,2008
1186835,2008
1186836,2008
1186837,2008
1186838,2008
1186839,2008
1186840,2008
1186841,2008
1186842,2008
1186843,2008
1186844,2008
1186845,2008
1186846,2008
1186847,2008
1186848,2008
1186849,2008
1186850,2008
1186851,2008
1186852,2008
1186853,2008
1186854,2008
1186855,2008
1186856,2008
1186858,2008
1186859,2008
1186860,2008
1186861,2008
1186862,2008
1186863,2008
1186864,2008
1187281,2008
1187289,2008
1187447,2008
1187448,2008
1187449,2008
1187450,2008
1187451,2008
1187453,2008
1187456,2008
1187457,2008
1187458,2008
1187459,2008
1187460,2008
1187465,2008
1187466,2008
1187467,2008
1187468,2008
1187469,2008
1187470,2008
1187471,2008
1187472,2008
1187475,2008
1187476,2008
1187477,2008
1187478,2008
1187479,2008
1187480,2008
1187481,2008
1187484,2008
1187485,2008
1187486,2008
1187487,2008
1187489,2008
1187490,2008
1187491,2008
1187495,2008
1187496,2008
1187497,2008
1187499,2008
1187500,2008
1187501,2008
1187502,2008
1187503,2008
1187504,2008
1187505,2008
1187506,2008
1187507,2008
1187508,2008
1187509,2008
1187510,2008
1187511,2008
1187512,2008
1187513,2008
1187515,2008
1187516,2008
1187517,2008
1187518,2008
1187519,2008
1187520,2008
1187521,2008
1187522,2008
1187523,2008
1187524,2008
1187527,2008
1187528,2008
1187529,2008
1187530,2008
1187532,2008
1187533,2008
1187534,2008
1187535,2008
1187536,2008
1187538,2008
1187539,2008
1187540,2008
1187541,2008
1187542,2008
1187543,2008
1187544,2008
1187545,2008
1187546,2008
1187547,2008
1187548,2008
1187549,2008
1187550,2008
1187551,2008
1187552,2008
1187553,2008
1187554,2008
1187555,2008
1187556,2008
1187557,2008
1187558,2008
1187559,2008
1187560,2008
1187561,2008
1187563,2008
1187564,2008
1187566,2008
1187567,2008
1187568,2008
1187569,2008
1187570,2008
1187571,2008
1187572,2008
1187573,2008
1187574,2008
1187575,2008
1187576,2008
1187577,2008
1187578,2008
1187579,2008
1187580,2008
1187581,2008
1187582,2008
1187583,2008
1187584,2008
1187586,2008
1187588,2008
1187589,2008
1187591,2008
1187592,2008
1187593,2008
1187594,2008
1187595,2008
1187596,2008
1187597,2008
1187599,2008
1187600,2008
1187601,2008
1187602,2008
1187603,2008
1187604,2008
1187605,2008
1187606,2008
1187607,2008
1187608,2008
1187609,2008
1187610,2008
1187611,2008
1187613,2008
1187614,2008
1187615,2008
1187616,2008
1187617,2008
1187618,2008
1187619,2008
1187620,2008
1187621,2008
1187622,2008
1187623,2008
1187624,2008
1187625,2008
1187626,2008
1187627,2008
1187628,2008
1187629,2008
1187631,2008
1187632,2008
1187633,2008
1187634,2008
1187635,2008
1187636,2008
1187637,2008
1187638,2008
1187639,2008
1187640,2008
1187641,2008
1187642,2008
1187643,2008
1187644,2008
1187645,2008
1187646,2008
1187647,2008
1187648,2008
1187649,2008
1187650,2008
1187652,2008
1187653,2008
1187654,2008
1187655,2008
1187656,2008
1187657,2008
1187658,2008
1187659,2008
1187660,2008
1187661,2008
1187662,2008
1187663,2008
1187664,2008
1187665,2008
1187666,2008
1187667,2008
1187668,2008
1187669,2008
1187671,2008
1187672,2008
1187673,2008
1187674,2008
1187675,2008
1187676,2008
1187677,2008
1187678,2008
1187679,2008
1187680,2008
1187681,2008
1187682,2008
1187683,2008
1187684,2008
1187685,2008
1187686,2008
1187687,2008
1187688,2008
1187689,2008
1187690,2008
1187691,2008
1187860,2008
1187861,2008
