USSCIDN,OFFGUIDE,SENTRNGE,MNTHDEPT,PCNTDEPT,SENTTCAP,SENSPCAP
2354013,16,0,,,10,10
2354014,10,0,,,180,180
2354015,10,0,,,135,135
2354017,17,0,,,27,27
2354024,16,2,33,39.285714286,51,51
2354026,15,2,6,25,18,18
2354078,10,2,42,53.846153846,36,36
2354087,13,8,12,20,48,48
2354090,10,7,10,14.285714286,60,60
2354092,16,0,,,33,33
2354093,16,7,13,28.260869565,33,33
2354094,16,0,,,26,26
2354095,10,3,46,65.714285714,24,24
2354096,1,0,,,,0
2354097,10,7,21,26.923076923,57,57
2354098,10,8,33,52.380952381,30,30
2354099,10,7,62,23.664122137,200,200
2354100,16,0,,,20,20
2354102,16,2,24.97,67.486486486,12.03,12.03
2354103,10,2,5,20.833333333,19,19
2354104,10,0,,,6,6
2354105,13,0,,,42,42
2354106,17,3,2,16.666666667,10,10
2354108,16,8,6,20,24,24
2354109,10,7,60,61.855670103,37,37
2354110,4,8,16,34.782608696,30,30
2354111,10,2,22,10.476190476,188,188
2354112,10,8,68,36.170212766,120,120
2354113,17,3,28,60.869565217,18,18
2354114,17,8,11.97,49.875,12.03,12.03
2354115,16,8,4,40,,6
2354116,13,1,6,33.333333333,24,24
2354117,10,2,1,100,,0
2354118,17,0,,,46,46
2354119,10,5,55,36.42384106,96,96
2354120,17,8,1,100,,0
2354122,16,2,15,33.333333333,30,30
2354123,17,3,9,42.857142857,12,12
2354124,17,3,4,40,6,6
2354125,17,0,,,1.07,1.07
2354126,17,3,4,40,6,6
2354127,30,,,,,6
2354128,17,0,,,15,15
2354129,17,3,31,67.391304348,15,15
2354130,18,0,,,51,51
2354131,16,0,,,,0
2354132,17,3,3,10,27,27
2354133,10,0,,,24,24
2354134,17,3,4,40,6,6
2354135,25,0,,,30,30
2354136,17,3,38.14,93.024390244,2.86,2.86
2354137,17,8,17,41.463414634,24,24
2354138,26,0,,,106,106
2354139,17,0,,,8,8
2354140,17,0,,,8,8
2354141,13,0,,,70,70
2354142,17,3,33,47.142857143,37,37
2354143,13,0,,,60,60
2354144,17,3,33.97,73.847826087,12.03,12.03
2354145,13,0,,,21,21
2354146,17,8,20,35.087719298,37,37
2354147,24,0,,,21,21
2354148,13,8,15,50,15,15
2354149,26,8,13,25.490196078,38,38
2354150,17,0,,,15,15
2354151,17,0,,,21,21
2354152,21,2,16,34.782608696,30,30
2354153,7,8,180,50,180,180
2354154,10,3,2.98,49.666666667,3.02,3.02
2354155,10,8,12.18,26.47826087,33.82,33.82
2354157,17,5,5.97,33.166666667,12.03,12.03
2354158,17,0,,,6,6
2354159,17,0,,,15,15
2354160,17,4,6,25,18,18
2354161,10,2,47.97,79.95,12.03,12.03
2354162,17,0,,,1.48,1.48
2354163,17,0,,,21,21
2354164,30,0,,,,1
2354165,17,0,,,1.72,1.72
2354166,17,0,,,1.85,1.85
2354167,10,0,,,188,188
2354168,17,3,4.24,42.4,5.76,5.76
2354169,17,0,,,18,18
2354170,17,3,5.01,83.5,0.99,0.99
2354171,17,0,,,0.66,0.66
2354172,16,0,,,24,24
2354173,17,3,5.8,72.5,2.2,2.2
2354174,10,8,47.97,79.95,12.03,12.03
2354175,17,0,,,33,33
2354176,30,0,,,,0
2354177,17,0,,,12,12
2354178,9,0,,,,0
2354179,27,2,52,19.847328244,210,210
2354180,17,8,22,47.826086957,24,24
2354181,13,0,,,70,70
2354182,16,0,,,12.03,12.03
2354183,17,0,,,24,24
2354184,10,8,48,44.444444444,60,60
2354185,10,2,41,33.884297521,80,80
2354186,16,0,,,24.03,24.03
2354187,10,0,,,6,6
2354188,26,0,,,90,90
2354189,10,0,,,30,30
2354190,10,0,,,120,120
2354191,17,0,,,3.45,3.45
2354192,10,8,5,27.777777778,13,13
2354193,17,3,2,20,8,8
2354194,17,0,,,10,10
2354195,17,0,,,13.03,13.03
2354196,13,0,,,3,3
2354197,17,0,,,19,19
2354198,17,0,,,21,21
2354199,17,0,,,0.0328515112,0.0328515112
2354200,23,0,,,46,46
2354201,17,3,33,57.894736842,24,24
2354202,10,8,30,14.285714286,180,180
2354203,17,3,6,60,4,4
2354204,10,7,11.97,49.875,12.03,12.03
2354205,7,4,76.87,88.356321839,10.13,10.13
2354206,13,0,,,37,37
2354207,16,8,3,50,3,3
2354208,17,7,2,20,8,8
2354209,10,0,,,9,9
2354210,17,3,13,35.135135135,24,24
2354211,17,0,,,0.16,0.16
2354212,10,2,12,19.047619048,51,51
2354213,17,0,,,4.79,4.79
2354214,17,0,,,34,34
2354215,29,8,6,25,18,18
2354216,10,2,104.21,77.192592593,30.79,30.79
2354217,10,8,115,48.936170213,120,120
2354218,13,8,9,15.789473684,48,48
2354219,13,0,,,37,37
2354220,10,0,,,87,87
2354221,16,0,,,51,51
2354222,27,0,,,360,360
2354223,13,0,,,71,71
2354224,17,0,,,1.76,1.76
2354225,17,0,,,,0
2354226,10,2,16,34.782608696,30,30
2354227,13,0,,,37,37
2354228,13,2,46,100,,0
2354229,26,0,,,51,51
2354230,17,0,,,1.31,1.31
2354231,17,0,,,5.06,5.06
2354232,10,7,8,4.2553191489,180,180
2354233,16,0,,,45,45
2354234,10,2,51,42.148760331,70,70
2354235,16,8,5.9671484888,99.452474814,0.0328515112,0.0328515112
2354236,17,3,0.52,26,1.48,1.48
2354237,10,0,,,24,24
2354238,7,0,,,240,240
2354239,17,0,,,19,19
2354240,10,2,15,55.555555556,,12
2354241,17,0,,,1.07,1.07
2354242,17,7,6,60,4,4
2354243,17,7,26,56.52173913,20,20
2354244,17,0,,,0.89,0.89
2354245,10,2,52,74.285714286,18,18
2354246,17,5,3.34,41.75,4.66,4.66
2354247,17,3,5.54,69.25,2.46,2.46
2354248,17,3,5.97,74.625,2.03,2.03
2354249,10,7,2,20,8,8
2354250,10,2,9.9671484888,66.447656592,0.0328515112,5.0328515112
2354251,17,3,2,20,8,8
2354252,13,8,10,21.739130435,36,36
2354253,20,0,,,37,37
2354254,10,2,144,85.714285714,24,24
2354255,17,6,41,136.66666667,71,71
2354256,13,0,,,12.03,12.03
2354257,10,8,10,21.739130435,36,36
2354258,17,0,,,4,4
2354259,10,0,,,,8
2354260,10,2,34,48.571428571,36,36
2354261,13,7,20,20,80,80
