USSCIDN,OFFGUIDE,SENTRNGE,MNTHDEPT,PCNTDEPT,SENTTCAP,SENSPCAP
2352954,13,0,,,37,37
2352955,10,0,,,48,48
2352958,17,7,28,60.869565217,18,18
2352960,4,4,30,47.619047619,33,33
2352962,17,3,36,46.753246753,41,41
2352963,10,8,36,33.333333333,72,72
2352964,10,2,94,50,94,94
2352966,17,0,,,1.33,1.33
2352968,17,0,,,7.56,7.56
2352969,13,8,10,9.0909090909,100,100
2352971,10,7,24,100,,0
2352972,17,3,14,46.666666667,16,16
2352973,10,3,7.93,66.083333333,4.07,4.07
2352985,10,0,,,168,168
2353010,10,3,36,63.157894737,21,21
2353013,10,8,5.9671484888,49.726237407,0.0328515112,6.0328515112
2353014,17,3,14,46.666666667,16,16
2353019,13,5,5.9671484888,33.150824938,0.0328515112,12.032851511
2353025,16,8,6,50,6,6
2353026,17,3,4,40,6,6
2353028,16,0,,,,0
2353035,17,3,2.31,38.5,3.69,3.69
2353036,13,7,24,100,,0
2353038,10,2,3,4.7619047619,60,60
2353039,30,0,,,0.0328515112,0.0328515112
2353040,21,0,,,108,108
2353041,17,3,36.24,78.782608696,9.76,9.76
2353042,23,8,19,41.304347826,27,27
2353043,10,7,4,9.756097561,37,37
2353044,10,8,30,14.285714286,180,180
2353045,10,3,115,85.185185185,20,20
2353048,27,0,,,12,12
2353051,17,8,5,33.333333333,10,10
2353052,24,8,12,44.444444444,15,15
2353053,13,0,,,84,84
2353056,10,0,,,60,60
2353062,10,7,55,36.42384106,96,96
2353082,17,0,,,42,42
2353083,4,7,27,100,,0
2353084,13,7,17,41.463414634,24,24
2353086,17,0,,,6.02,6.02
2353088,17,0,,,0.85,0.85
2353091,17,0,,,8,8
2353092,10,0,,,96,96
2353093,13,4,8,10.256410256,70,70
2353095,17,0,,,6.53,6.53
2353096,10,4,32,17.021276596,156,156
2353098,16,0,,,61,61
2353102,10,2,24,40,36,36
2353104,17,0,,,7,7
2353105,30,0,,,0.1,0.1
2353106,16,8,4,100,,0
2353107,16,0,,,,0
2353110,10,8,27,31.034482759,60,60
2353113,17,3,24,42.105263158,33,33
2353128,10,2,38.97,76.411764706,12.03,12.03
2353129,10,2,9,19.565217391,31,37
2353171,7,7,5,12.195121951,36,36
2353177,21,2,94.54,87.537037037,13.46,13.46
2353179,16,5,4,66.666666667,2,2
2353180,13,2,3,16.666666667,15,15
2353183,17,0,,,7.07,7.07
2353185,10,2,52,74.285714286,18,18
2353191,17,8,33,47.142857143,37,37
2353193,17,0,,,2.89,2.89
2353196,17,0,,,3.39,3.39
2353202,17,3,5.77,72.125,2.23,2.23
2353203,17,0,,,2.43,2.43
2353215,17,0,,,2.43,2.43
2353223,17,0,,,1.85,1.85
2353225,10,0,,,97,97
2353226,16,8,13,20.634920635,50,50
2353227,24,0,,,30,30
2353282,10,3,30,47.619047619,33,33
2353284,10,2,55,36.42384106,96,96
2353289,10,3,40,57.142857143,30,30
2353293,10,2,,,300,300
2353294,17,1,56,350,72,72
2353295,17,6,5,71.428571429,12,12
2353296,10,2,62,23.664122137,200,200
2353297,10,2,60,28.571428571,150,150
2353300,16,2,22,33.846153846,43,43
2353301,10,3,2,16.666666667,10,10
2353302,10,3,33,47.142857143,37,37
2353303,16,8,21,100,,0
2353304,23,2,31,67.391304348,15,15
2353305,10,4,144,44.444444444,180,180
2353306,10,2,72,42.857142857,96,96
2353307,10,3,115,85.185185185,20,20
2353308,17,0,,,16,16
2353309,10,2,156,48.148148148,168,168
2353310,17,3,3,20,12,12
2353311,17,0,,,27,27
2353312,13,0,,,63,63
2353313,10,3,121,100,,0
2353314,10,8,79,52.317880795,72,72
2353315,10,3,4.51,45.1,5.49,5.49
2353316,15,0,,,,0
2353317,17,0,,,10,10
2353318,10,4,31,20.529801325,120,120
2353319,17,0,,,15,15
2353320,24,0,,,18,18
2353321,10,0,,,19.59,19.59
2353322,17,3,4,50,4,4
2353324,16,8,6,20,24,24
2353325,13,0,,,51,51
2353326,17,8,4.12,41.2,5.88,5.88
2353327,30,0,,,,0
2353328,26,0,,,137,137
2353329,16,8,14.97,55.444444444,12.03,12.03
2353330,13,0,,,51,51
2353331,17,0,,,6,6
2353332,16,0,,,24,24
2353333,16,0,,,7,7
2353334,17,3,3.51,43.875,4.49,4.49
2353335,13,4,64,64,36,36
2353336,9,0,,,,1
2353337,10,8,120,100,,0
2353338,10,0,,,120,120
2353339,17,3,4,50,4,4
2353340,17,3,28,60.869565217,18,18
2353341,16,8,6,100,,0
2353342,21,0,,,96,96
2353343,13,2,30,34.482758621,57,57
2353344,30,0,,,6,6
2353345,10,8,46,100,,0
2353346,17,3,2.18,36.333333333,3.82,3.82
2353347,17,3,1.97,13.133333333,13.03,13.03
2353348,21,7,3,20,6,12
2353349,21,0,,,18,18
2353350,10,8,6.9671484888,46.447656592,0.0328515112,8.0328515112
2353351,16,8,55,23.404255319,180,180
2353352,17,0,,,2.2,2.2
2353353,13,0,,,63,63
2353354,13,0,,,41,41
2353355,10,2,46,100,,0
2353356,10,8,51,58.620689655,36,36
2353357,23,8,4,40,,6
2353358,10,0,,,57,57
2353359,7,4,49,50.515463918,48,48
2353360,10,1,3,10,33,33
2353361,10,0,,,60,60
2353362,17,3,12,57.142857143,9,9
2353363,17,3,9,19.565217391,37,37
2353364,13,0,,,46,46
2353365,10,8,15,45.454545455,18,18
2353366,17,3,7,46.666666667,8,8
2353367,17,3,12,57.142857143,9,9
2353368,13,7,30,100,,0
2353369,13,0,,,30,30
2353370,10,0,,,57,57
2353371,24,0,,,18,18
2353372,10,3,5.97,33.166666667,12.03,12.03
2353376,17,0,,,2.07,2.07
2353378,9,0,,,,0
2353379,10,0,,,120,120
2353380,17,0,,,0.66,0.66
2353381,26,0,,,90,90
2353382,17,0,,,1.13,1.13
2353383,17,0,,,1.36,1.36
2353384,17,0,,,1.16,1.16
2353385,13,8,17,45.945945946,20,20
2353386,13,8,38,31.666666667,82,82
2353387,13,0,,,27,27
2353388,17,3,5.9,73.75,2.1,2.1
2353389,4,8,48,27.272727273,128,128
2353390,10,8,10,9.4339622642,96,96
2353391,16,0,,,10,10
2353392,26,2,27,42.857142857,36,36
2353393,14,0,,,,0
2353394,16,0,,,,0
2353395,13,8,9,60,6,6
2353396,17,3,12,44.444444444,15,15
2353397,10,2,76,50.331125828,75,75
2353398,16,8,3,14.285714286,18,18
2353399,10,2,66,55,54,54
2353400,10,0,,,70,70
2353401,10,0,,,4.82,4.82
2353402,24,8,26.24,79.515151515,6.76,6.76
2353403,4,0,,,46,46
2353404,27,0,,,293,293
2353405,13,7,22,47.826086957,24,24
2353406,10,0,,,9,9
2353407,17,0,,,6,6
2353408,10,2,24,100,,0
2353409,10,2,75,55.555555556,60,60
2353410,10,0,,,18,18
2353411,17,0,,,0.85,0.85
2353412,10,2,13,18.571428571,57,57
2353413,13,6,7,17.073170732,48,48
2353414,13,0,,,32,32
2353415,17,3,1.97,13.133333333,13.03,13.03
2353416,17,0,,,0.07,0.07
2353417,10,8,7,4.6357615894,144,144
2353418,10,2,114,47.5,126,126
2353419,16,0,,,24,24
2353420,17,0,,,0.82,0.82
2353421,16,0,,,54,54
2353422,17,0,,,1.64,1.64
2353423,4,8,51,33.774834437,100,100
2353424,13,0,,,32,32
2353425,13,0,,,120,120
2353426,16,5,12,100,,0
2353427,17,8,1.08,18,4.92,4.92
2353428,10,8,20,8.3333333333,220,220
2353429,25,0,,,15,15
2353430,10,0,,,71,71
2353431,26,0,,,155,155
2353432,26,0,,,207,207
2353433,17,0,,,2,2
2353434,10,0,,,71,71
2353435,10,8,4,7.0175438596,53,53
2353436,13,2,6,20,24,24
2353437,17,0,,,0.76,0.76
2353438,7,8,79,52.317880795,72,72
2353439,17,0,,,0.0328515112,0.0328515112
2353440,30,0,,,,0
2353441,10,3,34,48.571428571,36,36
2353442,10,8,5,12.195121951,36,36
2353443,17,0,,,9,9
2353444,17,8,17,41.463414634,24,24
2353445,17,0,,,1.66,1.66
2353446,17,0,,,12.03,12.03
2353447,16,0,,,15,15
2353448,17,0,,,15,15
2353449,9,0,,,,0
2353450,17,8,29,41.428571429,41,41
2353451,17,0,,,5.78,5.78
2353452,19,2,41,33.884297521,80,80
2353453,17,0,,,1.91,1.91
2353454,16,8,9,27.272727273,24,24
2353455,17,7,22,47.826086957,24,24
2353456,19,2,19,19.587628866,78,78
2353457,17,3,6.57,82.125,1.43,1.43
2353458,10,8,18,10.714285714,150,150
2353459,17,0,,,2,2
2353460,10,2,140,66.666666667,70,70
2353461,13,0,,,70,70
2353462,10,0,,,135,135
2353463,13,0,,,180,180
2353464,16,0,,,9.62,9.62
2353465,30,,,,0.0328515112,0.0328515112
2353466,16,0,,,220,220
2353467,16,8,12,28.571428571,30,30
2353468,10,2,,,216,216
2353469,17,0,,,3,3
2353470,10,2,37,100,,0
2353471,17,0,,,10,10
2353472,10,7,111,42.366412214,151,151
2353473,17,3,3,9.0909090909,30,30
2353474,27,7,22,8.3969465649,240,240
2353475,10,0,,,108,108
2353476,16,0,,,,0
2353477,16,0,,,15,15
2353478,13,2,131,86.754966887,20,20
2353479,17,3,1.51,15.1,8.49,8.49
2353480,10,0,,,15,15
2353481,10,2,197,75.190839695,65,65
2353482,17,3,2,13.333333333,13,13
2353483,13,0,,,51,51
2353484,13,7,26.967148489,99.878327736,0.0328515112,0.0328515112
2353485,10,2,28,35.897435897,50,50
2353486,10,4,5,6.4935064935,72,72
2353487,10,8,28.2,76.216216216,8.8,8.8
2353488,10,5,2,20,8,8
2353489,1,0,,,21,21
2353490,1,0,,,21,21
2353491,10,5,2.97,19.8,12.03,12.03
2353492,30,,,,0.0328515112,0.0328515112
2353493,10,2,220,75.342465753,72,72
2353494,13,8,31,40.25974026,46,46
2353495,17,0,,,4,4
2353496,17,0,,,15,15
2353497,10,0,,,120,120
2353498,13,8,20.08,39.37254902,30.92,30.92
2353500,10,2,131,50,131,131
2353501,16,0,,,3.75,3.75
2353502,10,2,66,73.333333333,24,24
2353503,10,2,12,10,108,108
2353504,10,2,24,100,,0
2353505,10,0,,,71,71
2353506,17,3,3,9.0909090909,30,30
2353507,17,0,,,12.03,12.03
2353508,1,0,,,27,27
2353509,17,7,11,14.285714286,66,66
2353510,4,1,5,4.347826087,120,120
2353511,16,0,,,5.43,5.43
2353512,17,0,,,0.0328515112,0.0328515112
2353513,17,3,4,22.222222222,14,14
2353514,10,0,,,14,14
2353515,10,2,3,10,27,27
2353516,16,0,,,11.62,11.62
2353517,26,8,21,36.842105263,36,36
2353518,17,3,2,16.666666667,5,10
2353519,16,8,30,38.461538462,48,48
2353520,16,0,,,6.62,6.62
2353521,10,0,,,84,84
2353522,16,0,,,14,14
2353523,13,0,,,57,57
2353524,10,2,21,19.444444444,87,87
2353525,16,0,,,0.03,0.03
2353526,13,0,,,57,57
2353527,10,0,,,6,6
2353528,10,2,75,55.555555556,60,60
2353529,10,2,79,52.317880795,72,72
2353530,13,0,,,15,15
2353531,26,0,,,78,78
2353532,10,5,31,20.529801325,120,120
2353533,17,0,,,1.12,1.12
2353534,21,2,34,48.571428571,36,36
2353535,8,6,30,100,60,60
2353536,21,0,,,27,27
2353537,10,2,146,60.833333333,94,94
2353538,10,8,24,100,,0
2353539,17,3,27.84,92.8,2.16,2.16
2353540,17,0,,,8,8
2353541,21,2,6,100,,0
2353542,10,0,,,87,87
2353543,10,0,,,37,37
2353544,17,3,25.08,92.888888889,1.92,1.92
2353545,17,0,,,0.66,0.66
2353546,30,0,,,,0
2353547,21,4,,,240,240
2353548,10,0,,,10,10
2353549,10,2,55,36.42384106,96,96
2353550,10,4,74,28.244274809,188,188
2353551,17,3,59,76.623376623,18,18
2353552,17,0,,,5.33,5.33
2353553,17,3,8,80,2,2
2353554,21,8,28,40,42,42
2353555,10,6,15,18.518518519,96,96
2353556,10,0,,,135,135
2353557,16,0,,,12,12
2353558,10,0,,,60,60
2353559,13,0,,,46,46
2353560,17,0,,,3.76,3.76
2353561,10,0,,,188,188
2353562,16,2,12,40,18,18
2353563,10,8,39,16.595744681,196,196
2353564,16,7,12,21.052631579,45,45
2353565,26,2,19,30.158730159,44,44
2353566,17,0,,,4.79,4.79
2353567,17,0,,,4,4
2353568,17,3,4,40,6,6
2353569,17,3,6,28.571428571,15,15
2353570,1,0,,,9.13,9.13
2353571,16,8,1,100,,0
2353572,10,0,,,262,262
2353580,13,8,22,73.333333333,8,8
2353582,10,0,,,151,151
2353583,16,0,,,6,12
2353586,10,2,41,47.126436782,46,46
2353587,10,2,,,188,188
2353588,10,8,52,19.847328244,210,210
2353589,11,2,30,100,,0
2353590,13,0,,,57,57
2353591,10,2,157,66.808510638,78,78
2353592,17,0,,,5,10
2353593,10,2,37,19.680851064,151,151
2353594,10,8,2,13.333333333,13,13
2353595,17,0,,,1.41,1.41
2353596,10,7,145,69.047619048,65,65
2353597,17,8,31,67.391304348,15,15
2353598,17,0,,,1.59,1.59
2353599,30,0,,,,0
2353600,13,1,9,33.333333333,36,36
2353601,17,0,,,3.43,3.43
2353602,10,0,,,37,37
2353603,17,0,,,18,18
2353604,17,0,,,8,8
2353605,10,0,,,63,63
2353606,17,3,22,47.826086957,24,24
2353607,17,0,,,1.39,1.39
2353608,10,3,1.9,31.666666667,4.1,4.1
2353609,10,0,,,48,48
2353610,17,0,,,12.03,12.03
2353611,17,0,,,1.72,1.72
2353612,17,0,,,4.34,4.34
2353613,17,0,,,0.76,0.76
2353614,17,0,,,7.66,7.66
2353615,17,0,,,24,24
2353616,1,0,,,21,21
2353617,17,0,,,1,1
2353618,10,4,13,13.402061856,84,84
2353619,17,3,5.05,50.5,4.95,4.95
2353620,17,3,22,73.333333333,8,8
2353621,10,8,3,10,27,27
2353622,17,0,,,1.79,1.79
2353623,10,0,,,108,108
2353624,17,0,,,0.76,0.76
2353625,8,0,,,5,11
2353627,10,8,,,360,360
2353628,10,0,,,120,120
2353629,26,2,14,10.37037037,121,121
2353630,10,8,10,19.607843137,41,41
2353631,10,0,,,15,15
2353632,10,2,,,0.0328515112,22.032851511
2353633,16,0,,,16,16
2353634,4,0,,,4.95,4.95
2353635,10,0,,,46,46
2353636,10,2,6,100,,0
2353637,16,8,2,11.111111111,16,16
2353638,17,0,,,1.35,1.35
2353639,13,8,33,57.894736842,24,24
2353640,10,8,13,8.6092715232,138,138
2353642,5,2,31,67.391304348,15,15
2353644,10,0,,,63,63
2353645,17,0,,,37,37
2353646,10,2,78,100,,0
2353647,10,2,33,52.380952381,30,30
2353648,17,0,,,46,46
2353649,10,0,,,70,70
2353651,13,0,,,37,37
2353652,10,3,9,37.5,15,15
2353653,10,0,,,59.62,59.62
2353654,16,2,4,26.666666667,11,11
2353655,10,0,,,70,70
2353656,17,8,23,56.097560976,18,18
2353657,17,3,11.97,49.875,12.03,12.03
2353658,17,8,2,20,8,8
2353659,17,0,,,20,20
2353660,10,2,24,20,96,96
2353661,26,0,,,135,135
2353662,25,0,,,0.16,0.16
2353664,21,8,57,100,,0
2353665,10,2,24,30.769230769,54,54
2353666,10,8,7,18.918918919,30,30
2353667,10,2,8,12.698412698,55,55
2353668,17,6,5.03,71.857142857,12.03,12.03
2353669,16,8,6,25,18,18
2353670,29,0,,,6,12
2353671,16,8,,,,10
2353672,13,0,,,27,27
2353673,10,8,5.9671484888,49.726237407,0.0328515112,6.0328515112
2353674,10,0,,,360,360
2353675,17,0,,,,6
2353676,10,2,86.97,99.965517241,0.03,0.03
2353677,10,2,50.97,80.904761905,12.03,12.03
2353678,17,0,,,8,8
2353679,10,2,12,40,18,18
2353680,17,0,,,10,10
2353681,10,0,,,57,57
2353682,17,0,,,3.82,3.82
2353684,17,0,,,10,10
2353685,26,0,,,108,108
2353686,10,2,51,37.777777778,84,84
2353687,17,8,2.91,36.375,5.09,5.09
2353689,13,0,,,24,24
2353690,17,0,,,15,15
2353692,10,6,15,55.555555556,42,42
2353693,17,0,,,0.0328515112,0.0328515112
2353694,16,8,3,37.5,,5
2353695,17,8,16,59.259259259,11,11
2353696,30,0,,,,0
2353697,16,7,20,26.666666667,55,55
2353699,17,0,,,21,21
2353700,17,8,2.45,30.625,5.55,5.55
2353701,16,8,21,41.176470588,18,30
2353702,26,6,24,52.173913043,70,70
2353703,17,6,4,50,12,12
2353704,26,5,44.97,38.435897436,72.03,72.03
2353705,16,0,,,18,18
2353706,17,8,4,26.666666667,11,11
2353707,17,0,,,30,30
2353708,17,0,,,10,10
2353709,10,2,69.967148489,99.95306927,0.0328515112,0.0328515112
2353710,4,7,64.97,84.376623377,12.03,12.03
2353711,17,3,4.24,70.666666667,1.76,1.76
2353712,17,0,,,14,14
2353714,17,0,,,27,27
2353715,17,0,,,2.07,2.07
2353716,18,4,5.54,92.333333333,0.46,0.46
2353717,17,0,,,4.3,4.3
2353718,17,0,,,1.18,1.18
2353719,17,3,20.81,86.708333333,3.19,3.19
2353720,10,0,,,120,120
2353721,17,0,,,5.26,5.26
2353722,10,3,7.27,72.7,2.73,2.73
2353723,17,0,,,1.18,1.18
2353724,17,0,,,1.39,1.39
2353725,10,0,,,30,30
2353726,16,0,,,,6
2353727,17,3,38,82.608695652,8,8
2353728,17,8,12,50,12,12
2353729,16,0,,,,0
2353730,13,8,7,10,63,63
2353731,17,0,,,15,15
2353732,13,0,,,33,33
2353733,10,8,23.967148489,99.863118703,0.0328515112,0.0328515112
2353734,10,3,7.28,72.8,2.72,2.72
2353735,16,0,,,6,6
2353736,13,4,29,31.52173913,63,63
2353737,26,8,10,6.4935064935,144,144
2353738,17,3,33.97,73.847826087,12.03,12.03
2353739,10,7,3,14.285714286,18,18
2353740,17,0,,,12.03,12.03
2353741,17,0,,,13,13
2353742,10,2,18,100,,0
2353743,17,3,6.51,81.375,1.49,1.49
2353744,17,3,24,80,6,6
2353745,17,0,,,20,20
2353747,1,0,,,15,15
2353748,17,0,,,21,21
2353749,29,7,17.97,59.9,12.03,12.03
2353750,17,0,,,4.46,4.46
2353751,16,4,6,100,,0
2353752,13,5,5.97,33.166666667,12.03,12.03
2353753,10,3,2.54,42.333333333,3.46,3.46
2353754,10,2,142,94.039735099,9,9
2353755,13,8,16,34.782608696,30,30
2353756,10,0,,,240,240
2353757,17,0,,,0.0328515112,0.0328515112
2353758,27,0,,,469.99,469.99
2353759,17,0,,,3,3
2353760,13,0,,,60,60
2353761,10,8,15,17.24137931,72,72
2353762,13,0,,,15,15
2353763,17,5,1.04,17.333333333,4.96,4.96
2353764,13,8,51,55.434782609,41,41
2353772,13,0,,,64,64
2353919,13,2,28,40,42,42
2353920,10,2,2,20,,8
2353925,4,6,23,19.008264463,144,144
2353927,16,7,17.97,59.9,12.03,12.03
2353928,10,2,63,52.5,57,57
2353929,10,8,3,11.111111111,24,24
2353930,16,8,4,40,,6
2353931,17,0,,,0.16,0.16
2353933,30,0,,,,0
2353934,17,8,5,41.666666667,7,7
2353935,13,8,3,50,,3
2353936,16,8,4,40,6,6
2353937,10,3,40,57.142857143,30,30
2353938,13,0,,,6,12
2353940,17,0,,,10,10
2353941,13,0,,,36,36
2353942,27,8,1,0.826446281,120,120
2353943,17,0,,,8,8
2353944,17,5,15,71.428571429,6,6
2353945,25,8,4,33.333333333,8,8
2353946,10,8,5,12.195121951,36,36
2353947,13,2,6,25,18,18
2353948,17,0,,,15,15
2353949,26,0,,,188,188
2353950,16,0,,,30,30
2353951,13,2,6,100,,0
2353952,17,5,4.48,37.333333333,7.52,7.52
2353953,16,2,18,100,,0
2353954,17,0,,,71,71
2353955,17,3,24,58.536585366,17,17
2353956,19,0,,,470,470
2353957,17,0,,,6.13,6.13
2353958,10,8,5,9.8039215686,46,46
2353959,21,4,5,50,5,5
2353960,10,8,24,14.285714286,144,144
2353961,13,2,20,21.739130435,72,72
2353962,17,0,,,9.1,9.1
2353963,17,0,,,4,8
2353964,13,0,,,30,30
2353965,13,0,,,30,30
2353966,17,8,2,20,8,8
2353967,22,7,36,10,324,324
2353968,13,0,,,51,51
2353969,13,3,10,55.555555556,8,8
2353970,17,8,6,100,,0
2353971,16,0,,,,0
2353972,16,8,14.967148489,99.780989926,0.0328515112,0.0328515112
2353973,17,0,,,18,18
2353974,10,2,20,35.087719298,37,37
2353975,21,2,25,67.567567568,,12
2353976,17,0,,,,0
2353977,25,0,,,0.2928515112,3.2928515112
2353978,10,0,,,87,87
2353979,10,0,,,190,190
2353980,4,8,61,50.41322314,60,60
2353981,16,8,10,100,,0
2353982,10,2,216,60,144,144
2353983,17,0,,,33,33
2353984,17,0,,,3.85,3.85
2353985,13,8,3,10,27,27
2353986,17,0,,,10,10
2353987,27,7,144,44.444444444,180,180
2353988,10,0,,,71,71
2353989,16,0,,,,0
2353990,10,8,47,20,188,188
2353991,10,7,15,17.24137931,72,72
2353992,10,2,68,50.37037037,67,67
2353993,10,2,58,47.933884298,63,63
2353994,10,0,,,210,210
2353995,17,3,33,57.894736842,24,24
2353996,17,0,,,16,16
2353997,17,0,,,12,12
2353998,10,2,48,35.555555556,87,87
2353999,13,0,,,70,70
2354000,10,2,45.84,99.652173913,0.16,0.16
2354001,10,2,105,50,105,105
2354002,17,0,,,0.85,0.85
2354003,10,2,3,5,57,57
2354004,17,0,,,2.13,2.13
2354005,17,3,1.51,25.166666667,4.49,4.49
2354006,17,3,5.21,65.125,2.79,2.79
2354007,9,0,,,,0
2354008,10,4,16,10.59602649,135,135
2354009,11,0,,,,0
2354010,10,0,,,85,85
2354011,17,3,4,40,6,6
2354012,17,8,30,65.217391304,16,16
