USSCIDN,OFFGUIDE,SENTRNGE,MNTHDEPT,PCNTDEPT,SENTTCAP,SENSPCAP
2210060,10,2,100,33.333333333,200,200
2210062,7,0,,,37,37
2210067,16,0,,,18,18
2210079,3,1,36,60,96,96
2210139,7,8,72,42.857142857,96,96
2210184,10,0,,,37,37
2210185,10,8,13,35.135135135,24,24
2210186,10,3,19,51.351351351,18,18
2210187,10,7,15,19.230769231,63,63
2210188,23,7,,,360,360
2210189,16,0,,,18,18
2210191,13,0,,,188,188
2210192,17,7,24,34.285714286,46,46
2210193,16,7,6,10.526315789,51,51
2210194,13,8,82,31.297709924,180,180
2210195,17,8,6,100,,0
2210196,13,0,,,200,200
2210197,16,,,,1,1
2210198,13,0,,,60,60
2210199,13,0,,,120,120
2210200,10,8,4,33.333333333,8,8
2210201,17,8,22,47.826086957,24,24
2210202,15,2,2,11.111111111,16,16
2210203,13,0,,,46,46
2210204,16,2,144,75,48,48
2210205,17,8,22,47.826086957,24,24
2210206,10,2,47,55.952380952,37,37
2210207,10,7,25,10.638297872,210,210
2210208,12,0,,,48,48
2210209,17,0,,,2.3,2.3
2210210,10,2,73,75.257731959,24,24
2210211,10,0,,,63,63
2210212,17,3,4.74,59.25,3.26,3.26
2210213,10,2,59,25.106382979,176,176
2210214,9,,,,,0
2210215,10,0,,,188,188
2210216,17,0,,,1.33,1.33
2210217,10,0,,,135,135
2210218,17,0,,,6,6
2210219,16,8,5.97,49.75,0.03,6.03
2210220,10,2,10,19.607843137,41,41
2210221,1,0,,,24,24
2210223,10,2,14,20,56,56
2210224,17,8,9.21,92.1,0.79,0.79
2210225,10,2,120,71.428571429,48,48
2210226,13,0,,,110,110
2210227,13,0,,,33,33
2210228,10,8,17,19.540229885,70,70
2210229,10,0,,,14.72,14.72
2210230,13,0,,,37,37
2210231,10,2,128,68.085106383,60,60
2210232,13,0,,,9,9
2210233,10,2,34,48.571428571,36,36
2210234,16,8,5.9671484888,99.452474814,0.0328515112,0.0328515112
2210235,10,8,12,8.1632653061,135,135
2210236,7,8,19,19.587628866,78,78
2210237,10,0,,,120,120
2210238,10,8,10,14.285714286,60,60
2210239,16,0,,,12,12
2210240,10,4,31,20.529801325,120,120
2210241,17,8,29,37.662337662,48,48
2210242,17,0,,,3,3
2210243,13,0,,,46,46
2210244,4,0,,,33,33
2210245,7,8,30,14.285714286,180,180
2210246,17,0,,,8,8
2210247,7,8,61,40.397350993,90,90
2210248,17,4,6,50,,6
2210249,17,0,,,1.2,1.2
2210250,10,2,37,30.578512397,84,84
2210251,17,0,,,1,1
2210252,10,2,34,73.913043478,12,12
2210253,17,0,,,1.16,1.16
2210254,10,2,122,46.564885496,140,140
2210255,17,0,,,0.99,0.99
2210256,10,2,27,90,,3
2210257,10,8,210,58.333333333,150,150
2210258,30,4,6,20,24,24
2210259,10,8,35.11,76.326086957,10.89,10.89
2210260,17,0,,,10,10
2210261,17,0,,,0.92,0.92
2210263,17,3,11.97,49.875,12.03,12.03
2210267,10,0,,,10,10
2210272,16,8,24,19.834710744,97,97
2210311,16,8,6,100,,0
2210313,16,8,7,18.918918919,30,30
2210314,13,2,30,50,30,30
2210315,21,0,,,,6
2210316,10,4,68,36.170212766,120,120
2210317,10,8,19,30.158730159,44,44
2210319,26,2,62,23.664122137,200,200
2210320,10,3,89,65.925925926,46,46
2210321,10,2,160,66.666666667,80,80
2210322,10,2,70,100,,0
2210323,10,7,24,27.586206897,63,63
2210324,10,7,68,36.170212766,120,120
2210325,10,5,111,42.366412214,151,151
2210326,10,2,69,28.75,171,171
2210327,10,2,30,30,70,70
2210328,17,0,,,1.02,1.02
2210329,10,4,83,54.966887417,68,68
2210330,10,2,143,59.583333333,97,97
2210331,21,0,,,42,42
2210332,17,0,,,1.02,1.02
2210333,10,8,7,18.918918919,30,30
2210334,30,0,,,,0
2210336,10,0,,,37,37
2210337,16,0,,,,0
2210338,17,0,,,1.03,1.03
2210339,16,0,,,34,34
2210340,15,0,,,,0
2210341,17,0,,,1.16,1.16
2210342,10,8,15,11.111111111,120,120
2210343,10,7,32,34.782608696,60,60
2210344,7,8,73,75.257731959,24,24
2210345,17,8,21,36.842105263,36,36
2210346,7,0,,,84,84
2210347,17,0,,,1.16,1.16
2210349,1,8,15,71.428571429,,6
2210350,17,0,,,1.16,1.16
2210351,17,0,,,0.92,0.92
2210352,17,8,7.9671484888,99.58935611,0.0328515112,0.0328515112
2210353,17,3,9.9671484888,99.671484888,0.0328515112,0.0328515112
2210354,17,8,2,33.333333333,4,4
2210355,15,0,,,18,18
2210356,7,4,5,4.132231405,116,116
2210357,29,8,,,,10
2210358,10,2,74,61.666666667,46,46
2210359,16,8,6,60,,4
2210360,16,8,6,60,,4
2210461,11,8,12,66.666666667,,6
2210463,25,0,,,27,27
2210464,10,8,16,34.782608696,30,30
2210466,13,4,6,50,6,6
2210467,17,0,,,,0
2210468,17,0,,,0.0328515112,0.0328515112
2210469,17,0,,,,0
2210470,17,0,,,,0
2210471,10,7,15,11.111111111,120,120
2210472,17,8,14,34.146341463,27,27
2210473,16,5,8.97,42.714285714,12.03,12.03
2210474,17,3,6,33.333333333,12,12
2210475,7,8,24,14.285714286,144,144
2210477,16,0,,,46,46
2210535,4,0,,,18,18
2210536,10,3,11.97,49.875,12.03,12.03
2210537,13,0,,,235,235
2210539,17,0,,,30,30
2210541,7,8,60,50,60,60
2210580,13,8,,,360.03,360.03
2210581,26,8,70,32.710280374,144,144
2210602,24,8,11.44,76.266666667,3.56,3.56
2210805,10,7,39,44.827586207,48,48
2210806,10,7,14,18.181818182,63,63
2210807,10,0,,,27,27
2210810,17,2,28.31,94.366666667,1.69,1.69
2210811,10,8,51,47.222222222,57,57
2210814,10,3,11.93,66.277777778,6.07,6.07
2210817,10,8,6,20,24,24
2210818,10,2,29,78.378378378,,8
2210820,10,0,,,168,168
2210821,17,3,20,35.087719298,37,37
2210822,27,0,,,120,120
2210823,16,8,15,50,15,15
2210824,10,2,60,35.714285714,108,108
2210825,17,0,,,0.76,0.76
2210826,16,0,,,33,33
2210827,13,0,,,104,104
2210828,17,3,12,50,12,12
2210829,17,0,,,3,3
2210830,27,8,78,46.428571429,90,90
2210831,17,0,,,1.33,1.33
2210832,16,0,,,12.03,12.03
2210833,17,0,,,1.58,1.58
2210834,16,0,,,9.23,9.23
2210835,29,5,14,58.333333333,10,10
2210836,17,0,,,2.07,2.07
2210837,17,0,,,2.49,2.49
2210838,26,0,,,37,37
2210839,10,8,33,19.642857143,135,135
2210840,16,8,17,41.463414634,24,24
2210841,26,8,10,6.4935064935,144,144
2210842,13,0,,,27,27
2210845,10,2,172,48.863636364,180,180
2210847,16,8,5,12.195121951,36,36
2210849,28,0,,,60,60
2210850,21,0,,,78,78
2210853,17,0,,,2.33,2.33
2210855,17,0,,,21,21
2210906,16,5,8,66.666666667,4,4
2210953,25,0,,,12,12
2210956,16,,,,1,1
2210957,9,,,,5.91,5.91
2210958,10,8,24.97,67.486486486,12.03,12.03
2210959,16,0,,,54,54
2210963,10,5,98,52.127659574,90,90
2210964,17,0,,,8,8
2210966,10,0,,,120,120
2210967,26,0,,,108,108
2210968,13,0,,,32,32
2210969,16,7,4,100,,0
2210970,10,3,8,66.666666667,4,4
2210971,17,5,17,29.824561404,40,40
2210972,9,,,,6,6
2210973,26,2,56.967148489,99.94236577,0.0328515112,0.0328515112
2210974,13,0,,,70,70
2210975,13,0,,,151,151
2210976,9,,,,6,6
2210977,9,,,,7,7
2210978,16,4,6,50,6,6
2210979,16,8,3,4.7619047619,60,60
2210980,9,,,,5.91,5.91
2210981,17,3,3,14.285714286,18,18
2210982,9,,,,4,4
2210983,26,0,,,37,37
2210984,10,8,27,24.324324324,84,84
2210985,17,0,,,2.1,2.1
2210986,10,8,10,14.285714286,60,60
2210987,16,0,,,9.46,9.46
2210988,13,8,18,25.714285714,52,52
2210989,13,2,29,41.428571429,41,41
2210990,10,8,114,54.285714286,96,96
2210991,10,5,13,13.402061856,84,84
2210992,16,0,,,40,40
2210993,10,7,99,73.333333333,36,36
2210994,30,,,,,0
2210995,17,0,,,8,8
2210996,9,0,,,,0
2210997,10,0,,,120,120
2210998,17,0,,,0.0328515112,0.0328515112
2210999,17,0,,,65,65
2211000,4,0,,,,0
2211001,10,2,36,51.428571429,34,34
2211002,25,0,,,18,18
2211003,13,0,,,82,82
2211004,16,8,9,19.565217391,37,37
2211005,29,0,,,36,36
2211006,13,0,,,30,30
2211007,16,0,,,36,36
2211008,16,8,13,14.942528736,74,74
2211009,13,8,14,18.181818182,63,63
2211010,13,0,,,15,15
2211011,16,8,5,50,,5
2211012,10,2,65,48.148148148,70,70
2211013,17,3,4.67,58.375,3.33,3.33
2211014,17,3,5.34,66.75,2.66,2.66
2211015,17,3,5.83,72.875,2.17,2.17
2211016,5,2,11.97,99.75,0.03,0.03
2211017,10,7,104,55.319148936,84,84
2211019,7,8,43,28.476821192,108,108
2211020,10,0,,,188,188
2211021,10,2,65,48.148148148,70,70
2211022,21,8,8,100,,0
2211023,7,8,25,25.773195876,72,72
2211025,16,0,,,,0
2211026,26,0,,,151,151
2211027,29,7,6,16.666666667,30,30
2211028,10,7,6,13.043478261,40,40
2211029,17,3,2,100,,0
2211030,17,3,6,60,4,4
2211031,17,0,,,1.18,1.18
2211032,10,8,34,48.571428571,36,36
2211033,10,0,,,57,57
2211034,10,8,13,18.571428571,57,57
2211036,17,0,,,21,21
2211037,17,3,3,20,12,12
2211038,16,8,26,63.414634146,15,15
2211039,16,8,2.51,31.375,5.49,5.49
2211040,13,8,4.18,27.866666667,10.82,10.82
2211041,10,1,24,21.621621622,135,135
2211042,16,7,6,33.333333333,,12
2211043,6,8,6,28.571428571,15,15
2211044,17,8,5,12.195121951,36,36
2211045,10,8,3,4.7619047619,60,60
2211046,10,8,31,83.783783784,6,6
2211047,26,0,,,151,151
2211048,17,8,5,33.333333333,10,10
2211049,5,0,,,33,33
2211050,17,0,,,2.76,2.76
2211051,22,2,,,180,180
2211052,16,8,14,58.333333333,10,10
2211053,17,0,,,0.85,0.85
2211054,17,3,2.67,33.375,5.33,5.33
2211055,17,0,,,1.1,1.1
2211056,17,6,10,125,18,18
2211057,10,0,,,84,84
2211058,26,8,36,30,84,84
2211059,16,8,93,68.888888889,42,42
2211060,16,7,6,100,,0
2211061,10,7,103,68.21192053,48,48
2211062,21,0,,,27,27
2211063,16,8,1,10,3,9
2211064,10,0,,,60,60
2211065,17,0,,,0.76,0.76
2211066,28,0,,,18,18
2211067,17,7,17,29.824561404,40,40
2211068,17,0,,,7,7
2211069,10,8,6,10.526315789,51,51
2211070,1,8,0.93,7.75,5.07,11.07
2211071,26,1,9,2.752293578,336,336
2211072,27,0,,,189,189
2211073,17,0,,,0.76,0.76
2211074,17,0,,,0.76,0.76
2211075,17,0,,,0.82,0.82
2211076,10,2,88,30.136986301,204,204
2211077,10,5,1,0.826446281,120,120
2211078,10,2,127,48.473282443,135,135
2211079,17,0,,,0.43,0.43
2211080,5,0,,,42,42
2211081,16,0,,,,0
2211082,24,0,,,30,30
2211083,10,5,21,13.907284768,130,130
2211084,16,8,24.97,67.486486486,12.03,12.03
2211085,16,8,24.97,67.486486486,12.03,12.03
2211086,10,8,48,34.285714286,92,92
2211087,16,0,,,30,30
2211089,10,8,21,13.907284768,130,130
2211090,17,3,0.9671484888,96.714848883,0.0328515112,0.0328515112
2211091,10,8,73,67.592592593,35,35
2211092,10,8,36,33.333333333,72,72
2211093,17,0,,,48,48
2211094,16,7,9,60,,6
2211095,29,8,5.97,33.166666667,12.03,12.03
2211096,17,0,,,4,4
2211097,21,8,10,14.285714286,60,60
2211098,17,0,,,7,7
2211099,17,0,,,27,27
2211100,6,0,,,0.82,0.82
2211101,10,3,6,20,24,24
2211102,10,2,11,19.298245614,46,46
2211103,25,0,,,21,21
2211104,17,0,,,0.0328515112,0.0328515112
2211105,16,7,3,12.5,21,21
2211106,17,,,,0.0328515112,0.0328515112
2211107,17,0,,,15,15
2211108,5,0,,,36,36
2211109,24,0,,,24,24
2211110,16,0,,,,0
2211111,16,0,,,12,12
2211112,17,0,,,46,46
2211113,10,4,79,52.317880795,72,72
2211114,10,7,7,18.918918919,30,30
2211116,10,3,27,52.941176471,24,24
2211117,17,8,4,40,6,6
2211118,16,2,18,100,,0
2211119,5,0,,,30,30
2211120,10,5,51,33.774834437,100,100
2211121,10,3,40.44,98.634146341,0.56,0.56
2211122,17,8,7,70,,3
2211123,16,8,28,45.901639344,33,33
2211124,22,8,,,469.99,469.99
2211125,10,3,6,50,6,6
2211126,30,0,,,,0
2211127,10,2,56,40,84,84
2211128,17,3,3,14.285714286,18,18
2211129,17,0,,,58,58
2211130,16,8,6,100,,0
2211131,17,0,,,24,24
2211132,10,7,6,13.043478261,40,40
2211133,10,5,43,28.476821192,108,108
2211134,13,8,12,40,18,18
2211135,17,0,,,15,15
2211136,17,0,,,10,10
2211137,10,7,12,14.285714286,72,72
2211138,17,3,5,23.80952381,16,16
2211139,17,0,,,30,30
2211140,10,3,46,65.714285714,24,24
2211141,17,8,33,47.142857143,37,37
2211142,13,7,12,100,,0
2211143,17,3,29,37.662337662,48,48
2211144,27,8,96,26.666666667,264,264
2211145,17,8,2,16.666666667,10,10
2211146,17,3,4,33.333333333,8,8
2211147,17,0,,,15,15
2211148,17,0,,,24,24
2211209,17,6,8,66.666666667,20,20
2211230,21,0,,,144,144
2211231,17,0,,,0.0328515112,0.0328515112
2211232,15,0,,,15,15
2211233,1,0,,,24,24
2211234,17,8,24,28.571428571,60,60
2211235,13,0,,,63,63
2211236,29,8,16,28.070175439,41,41
2211237,17,0,,,1.13,1.13
2211238,10,8,1,0.826446281,120,120
2211239,13,0,,,60,60
2211240,13,0,,,33,33
2211241,17,0,,,37,37
2211242,4,4,3,25,9,9
2211243,13,0,,,33,33
2211244,17,0,,,1.62,1.62
2211245,17,0,,,0.79,0.79
2211246,17,3,20,35.087719298,37,37
2211247,10,3,9,37.5,15,15
2211249,13,0,,,33,33
2211250,10,2,38,60.317460317,25,25
2211251,17,3,8,80,2,2
2211252,13,8,10,55.555555556,,8
2211253,17,3,6,33.333333333,12,12
2211254,10,8,19,19.587628866,78,78
2211255,17,0,,,4.47,4.47
2211256,10,8,24,28.571428571,60,60
2211257,10,8,22,31.428571429,48,48
2211258,16,8,16,66.666666667,4,8
2211259,21,2,37,72.549019608,14,14
2211260,17,0,,,8,8
2211261,17,3,3.24,54,2.76,2.76
2211262,17,0,,,3.03,3.03
2211263,10,8,49,40.495867769,72,72
2211264,10,0,,,210,210
2211265,21,2,27,65.853658537,14,14
2211266,17,0,,,14,14
2211267,17,3,4,33.333333333,8,8
2211268,17,5,28,60.869565217,18,18
2211269,17,0,,,41,41
2211270,16,8,9,60,6,6
2211271,17,3,4,33.333333333,8,8
2211272,4,0,,,33,33
2211273,10,0,,,21,21
2211274,10,0,,,168,168
2211275,17,0,,,1.89,1.89
2211276,16,0,,,14,14
2211278,17,3,24,42.105263158,33,33
2211280,17,8,22,31.428571429,48,48
2211281,16,7,,,3.3,11.3
2211282,10,0,,,65,65
2211283,22,0,,,470,470
2211284,21,8,10,100,,0
2211285,26,1,13,14.942528736,100,100
2211286,10,0,,,71,71
2211287,13,0,,,96,96
2211288,17,0,,,70,70
2211289,26,6,55,44,180,180
2211290,10,3,30,65.217391304,16,16
2211291,17,0,,,12.03,12.03
2211292,15,0,,,8,8
2211293,17,0,,,6.72,6.72
2211294,22,5,10,14.285714286,60,60
2211295,10,0,,,46,46
2211296,10,8,29.77,99.233333333,0.23,0.23
2211297,17,8,2.97,19.8,12.03,12.03
2211298,10,3,5.97,33.166666667,12.03,12.03
2211299,10,7,180,75,60,60
2211300,17,3,12,57.142857143,9,9
2211301,10,4,48,35.555555556,87,87
2211302,17,0,,,12,12
2211303,10,7,25,54.347826087,21,21
2211304,17,0,,,12.03,12.03
2211305,16,0,,,36,36
2211306,13,0,,,24,24
2211307,10,7,3,4.7619047619,60,60
2211308,17,3,4.54,56.75,3.46,3.46
2211309,13,4,12,100,,0
2211310,27,7,180,50,180,180
2211311,10,2,22,59.459459459,15,15
2211312,17,0,,,16,16
2211313,1,0,,,,0
2211314,10,2,82,31.297709924,180,180
2211315,10,8,4,10.810810811,33,33
2211316,10,7,81,48.214285714,87,87
2211317,16,0,,,,0
2211318,10,3,17,45.945945946,20,20
2211319,10,2,69,57.5,51,51
2211320,10,0,,,30,30
2211321,16,5,14.97,99.8,0.03,0.03
2211322,13,0,,,96,96
2211323,10,2,17.967148489,99.817491605,0.0328515112,0.0328515112
2211324,10,0,,,24,24
2211325,30,0,,,,0
2211326,25,0,,,12.03,12.03
2211327,16,0,,,,0
2211328,10,0,,,41,41
2211329,10,8,10,100,,0
2211330,24,0,,,41,41
2211331,17,0,,,27,27
2211332,17,3,2.31,38.5,3.69,3.69
2211333,10,0,,,10,10
2211334,17,0,,,3.66,3.66
2211335,17,3,6.64,66.4,3.36,3.36
2211336,10,7,1.97,13.133333333,13.03,13.03
2211337,10,4,27,52.941176471,24,24
2211338,17,3,4.28,42.8,5.72,5.72
2211339,17,0,,,15,15
2211340,21,2,12,100,,0
2211341,16,8,6,100,,0
2211342,16,8,3,50,3,3
2211343,13,7,2.61,17.4,6.39,12.39
2211344,10,2,55,36.42384106,96,96
2211345,10,8,9,19.565217391,37,37
2211346,10,2,105,43.75,135,135
2211349,16,4,10,100,,0
2211350,4,0,,,33,33
2211351,10,2,93,68.888888889,42,42
2211352,17,0,,,4.1,4.1
2211353,10,0,,,151,151
2211354,10,8,15,13.888888889,93,93
2211355,25,0,,,15,15
2211356,10,0,,,70,70
2211357,10,2,166.44,99.071428571,1.56,1.56
2211358,16,8,5.31,53.1,4.69,4.69
2211359,22,4,3,3.4482758621,84,84
2211360,10,2,118,45.038167939,144,144
2211361,21,4,78,57.777777778,57,57
2211362,10,8,18,39.130434783,28,28
2211363,10,8,17,45.945945946,20,20
2211364,29,7,9.9671484888,99.671484888,0.0328515112,0.0328515112
2211365,10,4,18,85.714285714,,3
2211366,13,2,88,46.808510638,100,100
2211367,17,0,,,5,5
2211368,17,3,5.8,72.5,2.2,2.2
2211369,10,7,27,32.142857143,57,57
2211370,17,0,,,9.92,9.92
2211371,17,3,3.87,48.375,4.13,4.13
2211372,10,2,53,60.91954023,34,34
2211373,17,1,3,5.2631578947,60,60
2211374,26,8,20,66.666666667,10,10
2211375,13,8,15,40.540540541,22,22
2211376,10,7,60,35.714285714,108,108
2211377,16,8,11.97,49.875,12.03,12.03
2211378,10,8,10,19.607843137,41,41
2211380,10,2,33,47.142857143,37,37
2211381,10,0,,,30,30
2211382,26,2,11,26.829268293,30,30
2211383,10,3,57,100,,0
2211384,10,4,10,100,,0
2211385,4,0,,,,0
2211386,17,3,3.93,39.3,6.07,6.07
2211387,17,8,22,47.826086957,24,24
2211388,10,8,6,50,,6
2211389,13,0,,,77,77
2211390,24,8,2.97,19.8,12.03,12.03
2211391,10,8,3,4.7619047619,60,60
2211392,13,5,11,52.380952381,2,10
2211393,17,0,,,8,8
2211394,17,0,,,3.1,3.1
2211395,10,7,23,95.833333333,,1
2211396,13,8,10,100,,0
2211397,9,0,,,,0
2211398,10,7,27,47.368421053,30,30
2211399,11,5,21,100,,0
2211400,16,2,5,9.8039215686,46,46
2211401,16,2,9.9671484888,99.671484888,0.0328515112,0.0328515112
2211403,10,7,18.24,60.8,0.76,11.76
2211407,9,0,,,,0
2211513,17,5,4,9.756097561,37,37
2211514,10,0,,,24,24
2211515,17,0,,,41,41
2211516,30,0,,,,0
2211517,7,0,,,210,210
2211518,10,8,17,19.540229885,70,70
2211519,17,0,,,24,24
2211520,17,0,,,,0
2211521,10,8,22,47.826086957,24,24
2211522,10,5,68,36.170212766,120,120
2211523,17,5,11.97,49.875,12.03,12.03
2211528,30,0,,,0.66,0.66
2211530,17,3,2.51,31.375,5.49,5.49
2211611,28,7,14.97,55.444444444,12.03,12.03
2211614,10,0,,,121,121
2211615,27,2,82,31.297709924,180,180
2211616,10,8,27,52.941176471,24,24
2211617,17,0,,,46,46
2211618,17,0,,,46,46
2211620,17,8,9,19.565217391,37,37
2211621,13,1,12,20,72,72
2211623,17,0,,,21,21
2211624,26,2,53,32.919254658,108,108
2211626,10,2,156,65,84,84
2211627,10,2,63,72.413793103,24,24
2211629,26,2,18,54.545454545,15,15
2211631,10,8,12,14.285714286,72,72
2211632,17,0,,,46,46
2211633,10,0,,,210,210
2211634,10,0,,,60,60
2211635,17,0,,,24,24
2211636,17,0,,,36,36
2211637,17,0,,,24,24
2211638,17,0,,,60,60
2211639,26,2,20,48.780487805,21,21
2211640,15,0,,,18,18
2211641,10,7,17,29.824561404,40,40
2211642,17,0,,,10,10
2211643,17,0,,,48,48
2211644,10,2,321.21,89.225,38.79,38.79
2211645,10,2,104,86.666666667,16,16
2211646,17,0,,,0.76,0.76
2211647,10,2,,,31.79,31.79
2211648,17,0,,,1.33,1.33
2211649,29,5,30,100,,0
2211650,10,8,30,19.867549669,121,121
2211651,10,0,,,17.56,17.56
2211652,16,8,18,100,,0
2211653,13,0,,,12.03,12.03
2211654,10,2,20,35.087719298,37,37
2211655,10,0,,,70,70
2211656,13,4,18,100,,0
2211657,17,3,11.97,49.875,12.03,12.03
2211658,16,8,96,26.666666667,264,264
2211659,13,0,,,47,47
2211660,13,8,18,54.545454545,15,15
2211661,10,8,10,21.739130435,36,36
2211662,10,8,6,28.571428571,15,15
2211663,17,0,,,21,21
2211664,13,7,16,14.545454545,94,94
2211665,16,8,6,28.571428571,15,15
2211666,16,8,79,65.289256198,42,42
2211667,16,2,79.97,91.91954023,0.03,7.03
2211668,17,8,23,56.097560976,18,18
2211669,16,0,,,41,41
2211670,10,2,180,75,60,60
2211671,24,0,,,44.03,44.03
2211672,6,0,,,,0
2211673,10,3,12,40,18,18
2211674,16,2,33,100,,0
2211675,17,8,22,47.826086957,24,24
2211676,17,0,,,3,3
2211677,24,1,75,312.5,99,99
2211678,10,8,21,36.842105263,36,36
2211679,17,0,,,14,14
2211680,17,0,,,41,41
2211681,17,2,40,57.142857143,30,30
2211682,17,3,13,18.571428571,57,57
2211683,17,8,6,50,6,6
2211684,10,7,10,14.285714286,60,60
2211685,16,0,,,37,37
2211686,17,3,3,30,7,7
2211687,10,7,10.97,45.708333333,13.03,13.03
2211688,10,7,6,18.181818182,27,27
2211689,16,0,,,37,37
2211690,10,2,17.97,59.9,12.03,12.03
2211691,17,0,,,15,15
2211692,10,2,28,44.444444444,35,35
2211693,10,7,6,22.222222222,21,21
2211694,17,0,,,4,4
2211695,13,7,50.77,99.549019608,0.23,0.23
2211696,17,0,,,71,71
2211697,10,7,31,20.529801325,120,120
2211698,17,0,,,12,12
2211699,8,0,,,6,12
2211700,13,6,57,65.517241379,144,144
2211701,10,8,4,5.7142857143,66,66
2211702,10,7,21,36.842105263,36,36
2211703,17,3,16,34.782608696,30,30
2211704,13,0,,,210,210
2211705,17,3,32,45.714285714,38,38
2211706,10,2,90,42.857142857,120,120
2211707,10,0,,,60,60
2211708,1,3,4,40,6,6
2211709,16,0,,,6,6
2211710,10,2,95.97,88.861111111,12.03,12.03
2211711,9,,,,6.9,6.9
2211712,9,,,,6,6
2211713,9,,,,6,6
2211714,17,0,,,12,12
2211715,21,7,36,60,24,24
2211716,9,,,,8,8
2211717,9,,,,6,6
2211718,9,,,,6.9,6.9
2211719,10,8,19,41.304347826,27,27
2211720,9,,,,8,8
2211721,16,0,,,8,8
2211722,10,2,35,50,35,35
2211723,16,4,108,64.285714286,60,60
2211724,17,0,,,4.85,4.85
2211725,17,3,1.8,18,8.2,8.2
2211726,16,2,22,59.459459459,15,15
2211727,17,7,14,34.146341463,27,27
2211728,10,8,25,67.567567568,6,12
2211729,13,0,,,24,24
2211730,17,0,,,4.46,4.46
2211731,10,7,14,16.666666667,70,70
2211732,16,2,38.97,76.411764706,12.03,12.03
2211733,10,2,45.967148489,99.928583671,0.0328515112,0.0328515112
2211734,9,,,,7,7
2211735,16,2,21,41.176470588,30,30
2211736,16,0,,,,0
2211737,16,8,9,50,,9
2211738,16,0,,,24,24
2211739,13,8,10,17.543859649,47,47
2211740,26,0,,,115,115
2211741,7,2,33,52.380952381,30,30
2211742,16,4,32.967148489,99.900449966,0.0328515112,0.0328515112
2211743,13,0,,,57,57
2211744,16,8,,,,36
2211745,16,8,6,100,,0
2211746,16,8,6,100,,0
2211747,17,0,,,4.43,4.43
2211748,10,4,31,20.529801325,120,120
2211749,10,8,24,100,,0
2211750,16,8,32.97,89.108108108,0.03,4.03
2211751,12,8,10,55.555555556,2,8
2211752,10,2,104,55.319148936,84,84
2211753,21,2,122.97,91.088888889,12.03,12.03
2211754,10,8,15,21.428571429,55,55
2211755,17,0,,,92,92
2211756,16,,,,0.0328515112,0.0328515112
2211757,10,3,49,50.515463918,48,48
2211758,16,0,,,,0
2211759,20,0,,,78,78
2211760,16,7,11,19.298245614,46,46
2211761,10,2,75,55.555555556,60,60
2211762,16,7,10,100,,0
2211763,16,0,,,,0
2211764,17,3,9,19.565217391,37,37
2211765,17,0,,,12.03,12.03
2211766,13,0,,,27,27
2211767,17,3,7,46.666666667,8,8
2211768,10,3,140,58.333333333,100,100
2211769,17,3,9,60,6,6
2211770,17,3,17,62.962962963,10,10
2211771,26,0,,,70,70
2211772,10,3,72,66.666666667,36,36
2211773,17,3,6,25,18,18
2211774,17,0,,,46,46
2211775,17,3,5,10.869565217,41,41
2211776,17,0,,,57,57
2211777,21,2,34,73.913043478,,12
2211778,10,3,51,42.148760331,70,70
2211779,17,3,1,10,9,9
2211780,17,3,12,40,18,18
