USSCIDN,OFFGUIDE,SENTRNGE,MNTHDEPT,PCNTDEPT,SENTTCAP,SENSPCAP
2209913,16,2,18.7,69.259259259,0.3,8.3
2209954,16,0,,,60,60
2209956,10,5,6,22.222222222,21,21
2209957,10,2,47,43.518518519,61,61
2209958,13,0,,,152,152
2209960,13,0,,,78,78
2209965,16,0,,,27,27
2209967,13,8,12.07,40.233333333,11.93,17.93
2209968,16,8,9,33.333333333,18,18
2210007,10,2,24.97,67.486486486,12.03,12.03
2210008,16,8,4,100,,0
2210010,16,0,,,33,33
2210011,16,0,,,6,12
2210012,16,0,,,6,6
2210013,10,2,18,35.294117647,33,33
2210014,10,3,62,57.407407407,46,46
2210015,17,3,7,18.918918919,30,30
2210016,10,8,72,20,288,288
2210017,13,7,51,55.434782609,41,41
2210018,13,2,29,15.425531915,159,159
2210019,17,0,,,4.56,4.56
2210020,10,2,27,47.368421053,30,30
2210021,17,0,,,0.89,0.89
2210022,10,2,25,67.567567568,6,12
2210023,17,0,,,30,30
2210024,17,0,,,1.03,1.03
2210026,17,0,,,1.15,1.15
2210027,17,0,,,6,6
2210028,10,7,42,20,168,168
2210029,13,0,,,37,37
2210030,17,0,,,1.33,1.33
2210031,10,8,5,5.9523809524,79,79
2210032,17,0,,,1.02,1.02
2210033,13,0,,,92,92
2210034,17,3,2,20,8,8
2210035,17,0,,,1.12,1.12
2210036,10,3,5.28,52.8,4.72,4.72
2210039,10,8,1.67,16.7,8.33,8.33
2210040,10,0,,,16.36,16.36
2210041,10,2,10,5.9523809524,158,158
2210042,17,0,,,1.13,1.13
2210043,17,0,,,,0
2210044,17,0,,,0.99,0.99
2210045,10,7,33,57.894736842,24,24
2210046,24,0,,,5,10
2210047,10,8,39,61.904761905,24,24
2210048,10,2,30,38.461538462,48,48
2210049,9,0,,,,0
2210050,13,7,67,44.370860927,84,84
2210052,29,0,,,24,24
2210053,30,8,46,65.714285714,24,24
2210054,13,0,,,180,180
2210055,16,0,,,12.03,12.03
2210057,17,3,23,56.097560976,18,18
2210058,10,7,48,28.571428571,120,120
2210059,27,7,,,336,336
