USSCIDN,SENTYR
1025622,2006
1025657,2006
1025811,2006
1026030,2006
1026032,2006
1026071,2006
1026074,2006
1026106,2006
1026137,2006
1026138,2006
1026141,2006
1026147,2006
1026165,2006
1026172,2006
1026200,2006
1026321,2006
1026322,2006
1026325,2006
1026326,2006
1026327,2006
1026328,2006
1026329,2006
1026330,2006
1026338,2006
1026339,2006
1026344,2006
1026346,2006
1026347,2006
1026365,2006
1026367,2006
1026370,2006
1026373,2006
1026379,2006
1026380,2006
1026382,2006
1026384,2006
1026385,2006
1026389,2006
1026391,2006
1026392,2006
1026393,2006
1026394,2006
1026395,2006
1026405,2006
1026421,2006
1026439,2006
1026447,2006
1026460,2006
1026461,2006
1026462,2006
1026463,2006
1026478,2006
1026479,2006
1026485,2006
1026487,2006
1026495,2006
1026502,2006
1026503,2006
1026505,2006
1026506,2006
1026508,2006
1026528,2006
1026532,2006
1026563,2006
1026566,2006
1026571,2006
1026573,2006
1026575,2006
1026577,2006
1026579,2006
1026602,2006
1026604,2006
1026638,2006
1026640,2006
1026641,2006
1026646,2006
1026649,2006
1026650,2006
1026654,2006
1026674,2006
1026690,2006
1026698,2006
1026700,2006
1026795,2006
1026797,2006
1026801,2006
1026809,2006
1026887,2006
1026888,2006
1026898,2006
1026899,2006
1026901,2006
1026904,2006
1026905,2006
1026906,2006
1026907,2006
1026908,2006
1026910,2006
1026911,2006
1026912,2006
1026923,2006
1026926,2006
1026929,2006
1026931,2006
1026932,2006
1026934,2006
1026937,2006
1026955,2006
1026963,2006
1026965,2006
1027009,2006
1027010,2006
1027012,2006
1027023,2006
1027035,2006
1027037,2006
1027038,2006
1027041,2006
1027042,2006
1027044,2006
1027045,2006
1027050,2006
1027056,2006
1027057,2006
1027058,2006
1027059,2006
1027061,2006
1027064,2006
1027066,2006
1027078,2006
1027080,2006
1027087,2006
1027095,2006
1027100,2006
1027112,2006
1027113,2006
1027118,2006
1027134,2006
1027135,2006
1027136,2006
1027138,2006
1027142,2006
1027143,2006
1027144,2006
1027145,2006
1027146,2006
1027147,2006
1027148,2006
1027153,2006
1027154,2006
1027156,2006
1027159,2006
1027160,2006
1027166,2006
1027186,2006
1027187,2006
1027189,2006
1027193,2006
1027198,2006
1027201,2006
1027203,2006
1027206,2006
1027207,2006
1027208,2006
1027209,2006
1027214,2006
1027215,2006
1027216,2006
1027217,2006
1027218,2006
1027220,2006
1027222,2006
1027225,2006
1027230,2006
1027232,2006
1027237,2006
1027239,2006
1027242,2006
1027243,2006
1027246,2006
1027247,2006
1027248,2006
1027249,2006
1027251,2006
1027253,2006
1027259,2006
1027262,2006
1027267,2006
1027275,2006
1027282,2006
1027286,2006
1027291,2006
1027293,2006
1027296,2006
1027299,2006
1027301,2006
1027304,2006
1027310,2006
1027323,2006
1027325,2006
1027326,2006
1027330,2006
1027347,2006
1027348,2006
1027350,2006
1027463,2006
1027551,2006
1027554,2006
1027557,2006
1027558,2006
1027560,2006
1027561,2006
1027562,2006
1027563,2006
1027564,2006
1027565,2006
1027566,2006
1027568,2006
1027569,2006
1027570,2006
1027575,2006
1027576,2006
1027578,2006
1027580,2006
1027581,2006
1027584,2006
1027585,2006
1027587,2006
1027588,2006
1027590,2006
1027591,2006
1027592,2006
1027593,2006
1027595,2006
1027600,2006
1027601,2006
1027602,2006
1027603,2006
1027605,2006
1027607,2006
1027612,2006
1027614,2006
1027617,2006
1027619,2006
1027621,2006
1027622,2006
1027628,2006
1027641,2006
1027649,2006
1027652,2006
1027663,2006
1027665,2006
1027666,2006
1027670,2006
1027672,2006
1027677,2006
1027688,2006
1027690,2006
1027701,2006
1027704,2006
1027720,2006
1027726,2006
1027748,2006
1027750,2006
1027753,2006
1027757,2006
1027760,2006
1027761,2006
1027763,2006
1027765,2006
1027766,2006
1027871,2006
1027889,2006
1027897,2006
1027903,2006
1027904,2006
1027908,2006
1027909,2006
1027910,2006
