USSCIDN,SENTYR
285040,2005
488946,2005
582132,2005
630709,2005
657196,2005
708539,2004
713281,2005
744012,2004
744013,2004
744014,2005
744015,2005
744016,2004
744018,2004
744019,2004
744020,2004
747167,2005
748028,2005
748855,2004
749184,2005
749185,2005
749186,2005
749187,2005
749188,2005
749189,2005
749190,2005
756888,2005
756931,2005
756932,2005
756933,2005
756934,2005
756935,2005
756936,2005
756937,2005
756938,2005
756939,2005
756940,2005
758865,2005
758874,2004
758876,2004
758878,2004
758879,2004
758880,2005
758881,2004
758882,2004
758883,2004
758884,2004
758885,2004
758886,2004
758887,2004
758888,2004
758889,2004
758890,2004
762765,2005
764131,2004
764132,2004
764134,2004
764135,2004
764136,2004
764137,2004
764138,2004
764139,2004
764140,2004
764141,2004
764142,2004
764143,2004
764144,2004
764145,2004
764146,2004
764147,2004
764148,2004
764149,2004
764150,2004
764151,2004
764152,2004
764153,2004
764154,2004
764155,2004
764156,2004
764157,2004
764158,2004
764159,2004
764160,2004
764161,2004
764162,2004
764163,2004
764164,2004
764165,2004
764166,2004
764167,2004
764168,2004
764169,2004
764170,2004
766005,2005
767069,2005
770759,2005
775743,2004
776011,2005
776012,2005
776013,2005
776014,2005
776015,2005
776016,2005
776017,2005
776018,2005
776019,2005
776020,2005
776041,2004
776042,2004
776043,2004
776044,2004
776045,2004
776046,2004
776047,2004
776048,2004
776049,2004
776050,2004
776221,2004
776921,2004
777031,2005
777032,2005
777033,2005
777034,2005
777035,2005
777036,2005
777037,2005
777038,2005
777039,2005
777040,2005
777261,2005
777262,2005
777263,2005
777264,2005
777265,2005
777266,2005
777267,2005
777268,2005
777269,2005
777270,2005
777508,2004
777794,2004
777824,2004
777825,2004
777830,2004
777845,2004
777855,2004
777893,2004
777900,2004
777901,2004
777902,2004
777903,2004
777909,2004
777911,2004
777923,2004
777924,2004
777925,2004
777927,2004
777928,2004
778374,2004
778402,2004
778403,2004
778575,2004
778580,2004
778609,2004
778613,2004
778619,2004
778624,2004
778650,2004
778662,2004
778665,2004
778666,2004
778667,2004
778668,2004
778669,2004
778670,2004
778671,2004
778672,2004
778673,2004
778674,2004
778675,2004
778676,2004
778677,2004
778678,2004
778679,2004
778680,2004
778681,2004
778682,2004
778683,2004
778684,2004
778685,2004
778687,2004
778688,2004
778692,2004
778693,2004
778694,2004
778695,2004
778696,2004
778697,2004
778698,2004
778699,2004
778700,2004
778782,2004
778851,2004
778852,2004
778860,2004
778861,2004
778862,2004
778863,2004
778865,2004
778866,2004
778868,2004
778874,2004
778875,2004
778876,2004
778877,2004
778883,2004
778890,2004
778901,2004
778902,2004
778903,2004
778906,2004
778909,2004
778910,2004
778911,2004
778913,2004
778914,2004
778915,2004
778918,2004
778919,2004
778920,2004
778922,2004
778929,2004
778930,2004
778932,2004
778933,2004
778934,2004
778935,2004
778936,2004
778937,2004
778938,2004
778939,2004
778940,2004
778941,2004
778942,2004
778943,2004
778944,2004
778945,2004
778946,2004
778947,2004
778948,2004
778949,2004
778950,2004
778951,2004
778952,2004
778953,2004
778954,2004
778955,2004
778956,2004
778957,2004
778959,2004
778960,2004
778961,2004
778962,2004
778963,2004
778964,2004
778965,2004
778967,2004
778968,2004
778969,2004
778970,2004
778971,2004
778972,2004
778973,2004
778974,2004
778975,2004
778976,2004
778977,2004
778978,2004
778979,2004
778980,2004
778981,2004
778982,2004
778983,2004
