USSCIDN,SENTYR
736285,2006
777176,2005
804942,2006
813560,2006
833382,2006
835312,2005
835313,2005
835314,2005
835315,2005
835316,2005
835317,2005
835318,2005
835319,2005
835320,2005
835321,2005
835322,2005
835323,2005
835324,2005
835325,2005
835326,2005
835327,2005
835328,2005
835329,2005
835330,2005
835331,2005
835332,2005
835333,2005
835334,2005
835335,2005
835336,2005
835337,2005
835338,2005
835339,2005
835340,2005
835341,2005
835342,2005
835343,2005
835344,2005
835345,2005
835346,2005
835347,2005
835348,2005
835349,2005
835350,2005
867248,2005
867249,2005
867250,2005
869269,2005
869270,2005
869271,2005
869272,2005
869273,2005
869274,2005
869275,2005
869276,2005
869277,2005
869278,2005
869279,2005
869280,2005
869281,2005
869282,2005
869283,2005
869284,2005
869285,2005
869286,2005
869287,2005
869288,2005
869289,2005
869290,2005
869291,2005
869292,2005
869293,2005
869294,2005
869295,2005
869296,2005
869297,2005
869298,2005
869299,2005
869300,2005
869301,2005
869302,2005
869303,2005
869304,2005
869305,2005
869306,2005
869307,2005
869308,2005
869309,2005
869310,2005
869311,2005
869312,2005
869313,2005
869314,2005
869315,2005
869316,2005
869317,2005
869318,2005
869319,2005
869320,2005
872741,2005
872742,2005
872743,2005
872744,2005
872745,2005
872746,2005
872747,2005
872748,2005
872749,2005
872750,2005
877331,2005
877332,2005
877333,2005
877334,2005
877335,2005
877336,2005
877337,2005
877338,2005
877339,2005
877340,2005
877460,2005
877461,2005
877462,2005
877501,2005
877502,2005
877503,2005
877504,2005
877505,2005
877506,2005
877507,2005
877508,2005
877509,2005
877510,2005
878107,2005
878164,2005
878252,2005
878261,2005
878262,2005
878265,2005
878266,2005
878268,2005
878269,2005
878271,2005
878272,2005
878273,2005
878274,2005
878275,2005
878276,2005
878277,2005
878279,2005
878280,2005
878290,2005
878291,2005
878292,2005
878293,2005
878294,2005
878295,2005
878296,2005
878297,2005
878298,2005
878299,2005
878301,2005
878302,2005
878303,2005
878304,2005
878305,2005
878306,2005
878307,2005
878308,2005
878309,2005
878310,2005
878311,2005
878312,2005
878313,2005
878314,2005
878315,2005
878316,2005
878317,2005
878318,2005
878319,2005
878320,2005
878321,2005
878322,2005
878323,2005
878324,2005
878325,2005
878326,2005
878327,2005
878328,2005
878329,2005
878330,2005
879758,2006
880634,2005
881624,2006
881633,2006
881740,2006
883315,2005
885219,2005
885222,2005
885226,2005
885228,2005
885229,2005
885234,2005
885237,2005
885506,2005
885507,2005
885807,2005
885916,2005
886082,2005
886083,2005
886084,2005
886085,2005
886086,2005
886087,2005
886088,2005
886089,2005
886090,2005
886101,2005
886102,2005
886103,2005
886104,2005
886105,2005
886106,2005
886107,2005
886108,2005
886109,2005
886110,2005
886119,2005
886120,2005
886221,2005
886222,2005
886223,2005
886224,2005
886225,2005
886226,2005
886227,2005
886228,2005
886229,2005
886230,2005
886321,2005
886322,2005
886323,2005
886324,2005
886325,2005
886326,2005
886327,2005
886328,2005
886329,2005
886330,2005
886381,2005
886382,2005
886383,2005
886384,2005
886385,2005
886386,2005
886387,2005
886389,2005
886390,2005
886391,2005
886392,2005
886393,2005
886394,2005
886395,2005
886396,2005
886397,2005
886398,2005
886399,2005
886461,2005
886462,2005
886463,2005
886464,2005
886465,2005
886466,2005
886467,2005
886468,2005
886469,2005
886470,2005
886531,2005
886532,2005
886533,2005
886534,2005
886535,2005
886536,2005
886537,2005
886538,2005
886539,2005
886561,2005
886562,2005
886563,2005
886564,2005
886565,2005
886566,2005
886567,2005
886568,2005
886569,2005
886570,2005
886571,2005
886572,2005
886573,2005
886574,2005
886575,2005
886576,2005
886577,2005
886578,2005
886579,2005
886580,2005
886601,2005
886602,2005
886603,2005
886604,2005
886605,2005
886606,2005
886607,2005
886608,2005
886609,2005
886610,2005
886611,2005
886612,2005
886613,2005
886614,2005
886615,2005
886617,2005
886618,2005
886619,2005
886620,2005
886621,2005
886622,2005
886623,2005
886624,2005
886625,2005
886626,2005
886627,2005
886628,2005
886629,2005
886630,2005
886661,2005
886662,2005
886663,2005
886664,2005
886665,2005
886666,2005
886667,2005
886668,2005
886669,2005
886670,2005
886671,2005
886672,2005
886673,2005
886674,2005
886675,2005
886676,2005
886677,2005
886678,2005
886679,2005
886680,2005
886771,2005
886773,2005
886777,2005
886780,2005
886866,2005
886911,2005
886912,2005
886913,2005
886914,2005
886915,2005
886916,2005
886917,2005
886918,2005
886919,2005
886920,2005
886921,2005
886922,2005
886923,2005
886924,2005
886925,2005
886926,2005
886927,2005
886928,2005
886929,2005
886930,2005
886931,2005
886932,2005
886933,2005
886934,2005
886935,2005
886936,2005
886937,2005
886938,2005
886939,2005
886940,2005
886941,2005
886942,2005
886943,2005
886944,2005
886945,2005
886946,2005
886947,2005
886948,2005
886949,2005
886950,2005
886951,2005
886952,2005
886953,2005
886954,2005
886955,2005
886956,2005
886957,2005
886958,2005
886959,2005
886960,2005
886961,2005
886962,2005
886963,2005
886964,2005
886965,2005
886966,2005
886967,2005
886968,2005
886969,2005
886970,2005
886971,2005
886972,2005
886973,2005
886974,2005
886975,2005
886976,2005
886977,2005
886978,2005
886979,2005
886980,2005
886981,2005
886982,2005
886983,2005
886984,2005
886985,2005
886986,2005
886987,2005
886988,2005
886989,2005
886990,2005
887052,2005
887059,2005
887070,2005
887098,2005
887113,2006
887131,2005
887132,2005
887133,2005
887134,2005
887135,2005
887136,2005
887137,2005
887138,2005
887139,2005
887140,2005
887151,2005
887153,2005
887154,2005
887155,2005
887156,2005
887157,2005
887158,2005
887159,2005
887160,2005
887175,2005
887301,2005
887302,2005
887303,2005
887304,2005
887306,2005
887307,2005
887308,2005
887309,2005
887310,2005
887361,2005
887379,2005
887382,2005
887383,2005
887384,2005
887385,2005
887386,2005
887387,2005
887388,2005
887389,2005
887391,2005
887392,2005
887393,2005
887394,2005
887395,2005
887396,2005
887397,2005
887398,2005
887399,2005
887400,2005
887401,2005
887402,2005
887403,2005
887404,2005
887405,2005
887406,2005
887407,2005
887408,2005
887409,2005
887410,2005
887411,2005
887412,2005
887413,2005
887414,2005
887415,2005
887416,2005
887417,2005
887418,2005
887419,2005
887420,2005
887441,2005
887442,2005
887443,2005
887444,2005
887445,2005
887446,2005
887447,2005
887448,2005
887449,2005
887450,2005
887468,2005
887485,2005
887486,2005
887489,2005
887490,2005
887492,2005
887494,2005
887497,2005
887498,2005
887499,2005
887500,2005
887511,2005
887512,2005
887513,2005
887514,2005
887515,2005
887516,2005
887517,2005
887518,2005
887519,2005
887520,2005
887559,2005
887581,2005
887582,2005
887583,2005
887584,2005
887585,2005
887586,2005
887587,2005
887589,2005
887590,2005
887661,2005
887662,2005
887663,2005
887664,2005
887665,2005
887666,2005
887667,2005
887668,2005
887669,2005
887670,2005
887671,2005
887672,2005
887673,2005
887674,2005
887675,2005
887677,2005
887678,2005
887679,2005
887680,2005
887681,2005
887682,2005
887683,2005
887684,2005
887685,2005
887686,2005
887687,2005
887688,2005
887689,2005
887690,2005
887722,2005
887723,2005
887724,2005
887725,2005
887726,2005
887727,2005
887728,2005
887729,2005
887730,2005
887731,2005
887732,2005
887733,2005
887734,2005
887735,2005
887736,2005
887737,2005
887739,2005
887740,2005
887741,2005
887742,2005
887743,2005
887744,2005
887745,2005
887746,2005
887747,2005
887748,2005
887749,2005
887750,2005
887751,2005
887752,2005
887753,2005
887754,2005
887756,2005
887757,2005
887758,2005
887759,2005
887760,2005
887761,2005
887762,2005
887763,2005
887764,2005
887765,2005
887766,2005
887767,2005
887768,2005
887769,2005
887770,2005
887771,2005
887772,2005
887773,2005
887774,2005
887775,2005
887776,2005
887777,2005
887778,2005
887779,2005
887780,2005
887781,2005
887782,2005
887783,2005
887784,2005
887785,2005
887786,2005
887787,2005
887788,2005
887789,2005
887790,2005
887791,2005
887792,2005
887793,2005
887794,2005
887795,2005
887796,2005
887797,2005
887798,2005
887799,2005
887800,2005
887801,2005
887802,2005
887803,2005
887804,2005
887805,2005
887806,2005
887807,2005
887808,2005
887809,2005
887810,2005
887811,2005
887812,2005
887813,2005
887814,2005
887815,2005
887816,2005
887817,2005
887818,2005
887819,2005
887820,2005
887841,2005
887842,2005
887843,2005
887844,2005
887845,2005
887846,2005
887847,2005
887848,2005
887849,2005
887850,2005
887851,2005
887852,2005
887853,2005
887854,2005
887855,2005
887856,2005
887857,2005
887858,2005
887859,2005
887860,2005
887911,2005
887912,2005
887913,2005
887914,2005
887915,2005
887916,2005
887917,2005
887918,2005
887919,2005
887920,2005
887971,2005
887972,2005
887973,2005
887974,2005
887975,2005
887976,2005
887977,2005
887978,2005
887979,2005
887980,2005
888031,2005
888032,2005
888033,2005
888036,2005
888037,2005
888038,2005
888039,2005
888040,2005
888077,2005
888078,2005
888082,2005
888083,2005
888084,2005
888085,2005
888086,2005
888087,2005
888088,2005
888089,2005
888090,2005
888091,2005
888092,2005
888093,2005
888094,2005
888095,2005
888096,2005
888097,2005
888098,2005
888099,2005
888100,2005
888121,2005
888122,2005
888123,2005
888124,2005
888125,2005
888126,2005
888127,2005
888128,2005
888129,2005
888130,2005
888131,2005
888132,2005
888133,2005
888134,2005
888135,2005
888136,2005
888137,2005
888138,2005
888139,2005
888140,2005
888162,2005
888188,2005
888201,2005
888202,2005
888203,2005
888204,2005
888205,2005
888206,2005
888207,2005
888208,2005
888209,2005
888210,2005
888211,2005
888212,2005
888213,2005
888214,2005
888215,2005
888216,2005
888217,2005
888218,2005
888219,2005
888220,2005
888221,2005
888222,2005
888223,2005
888224,2005
888225,2005
888226,2005
888227,2005
888228,2005
888229,2005
888230,2005
888231,2005
888232,2005
888233,2005
888234,2005
888235,2005
888236,2005
888237,2005
888238,2005
888239,2005
888240,2005
888241,2005
888242,2005
888243,2005
888244,2005
888245,2005
888246,2005
888247,2005
888248,2005
888249,2005
888250,2005
888251,2005
888252,2005
888253,2005
888254,2005
888255,2005
888256,2005
888257,2005
888258,2005
888259,2005
888260,2005
888261,2005
888262,2005
888263,2005
888264,2005
888265,2005
888266,2005
888267,2005
888268,2005
888269,2005
888270,2005
888292,2005
888293,2005
888294,2005
888295,2005
888296,2005
888297,2005
888298,2005
888299,2005
888300,2005
888311,2005
888312,2005
888313,2005
888314,2005
888315,2005
888316,2005
888317,2005
888318,2005
888319,2005
888320,2005
888321,2005
888322,2005
888323,2005
888324,2005
888325,2005
888326,2005
888327,2005
888328,2005
888329,2005
888330,2005
888331,2005
888332,2005
888333,2005
888334,2005
888335,2005
888336,2005
888337,2005
888338,2005
888339,2005
888340,2005
888341,2005
888342,2005
888343,2005
888344,2005
888345,2005
888346,2005
888347,2005
888348,2005
888349,2005
888350,2005
888351,2005
888352,2005
888353,2005
888354,2005
888355,2005
888356,2005
888357,2005
888358,2005
888359,2005
888360,2005
888361,2005
888362,2005
888363,2005
888364,2005
888365,2005
888366,2005
888367,2005
888368,2005
888369,2005
888370,2005
888411,2005
888412,2005
888413,2005
888414,2005
888415,2005
888416,2005
888417,2005
888418,2005
888419,2005
888420,2005
888421,2005
888422,2005
888423,2005
888424,2005
888425,2005
888426,2005
888427,2005
888428,2005
888429,2005
888430,2005
888431,2005
888432,2005
888433,2005
888434,2005
888435,2005
888436,2005
888437,2005
888438,2005
888439,2005
888440,2005
888441,2005
888442,2005
888443,2005
888444,2005
888445,2005
888446,2005
888447,2005
888448,2005
888449,2005
888450,2005
888451,2005
888452,2005
888453,2005
888454,2005
888455,2005
888456,2005
888457,2005
888458,2005
888459,2005
888460,2005
888461,2005
888462,2005
888463,2005
888464,2005
888465,2005
888466,2005
888467,2005
888468,2005
888469,2005
888470,2005
888471,2005
888472,2005
888473,2005
888474,2005
888475,2005
888476,2005
888477,2005
888478,2005
888479,2005
888480,2005
888481,2005
888482,2005
888483,2005
888484,2005
888485,2005
888486,2005
888487,2005
888488,2005
888489,2005
888490,2005
888501,2005
888502,2005
888503,2005
888504,2005
888505,2005
888506,2005
888507,2005
888508,2005
888509,2005
888510,2005
888511,2005
888512,2005
888513,2005
888514,2005
888515,2005
888516,2005
888517,2005
888518,2005
888519,2005
888520,2005
888521,2005
888522,2005
888523,2005
888524,2005
888525,2005
888526,2005
888527,2005
888528,2005
888529,2005
888530,2005
888531,2005
888532,2005
888533,2005
888534,2005
888535,2005
888536,2005
888537,2005
888538,2005
888539,2005
888540,2005
888556,2005
888561,2005
888562,2005
888563,2005
888564,2005
888565,2005
888566,2005
888567,2005
888568,2005
888569,2005
888591,2005
888592,2005
888593,2005
888594,2005
888595,2005
888596,2005
888597,2005
888598,2005
888599,2005
888600,2005
888601,2005
888602,2005
888603,2005
888604,2005
888605,2005
888606,2005
888607,2005
888608,2005
888609,2005
888610,2005
888611,2005
888612,2005
888613,2005
888614,2005
888615,2005
888616,2005
888617,2005
888618,2005
888619,2005
888620,2005
888621,2005
888622,2005
888623,2005
888624,2005
888625,2005
888626,2005
888627,2005
888628,2005
888629,2005
888630,2005
888631,2005
888632,2005
888634,2005
888635,2005
888636,2005
888637,2005
888638,2005
888639,2005
888640,2005
888641,2005
888642,2005
888643,2005
888644,2005
888645,2005
888646,2005
888647,2005
888649,2005
888650,2005
888651,2005
888652,2005
888653,2005
888654,2005
888655,2005
888656,2005
888657,2005
888658,2005
888659,2005
888660,2005
888681,2005
888682,2005
888683,2005
888684,2005
888685,2005
888687,2005
888688,2005
888689,2005
888690,2005
888694,2005
888701,2005
888702,2005
888703,2005
888704,2005
888705,2005
888706,2005
888707,2005
888708,2005
888709,2005
888710,2005
888711,2005
888712,2005
888713,2005
888714,2005
888715,2005
888716,2005
888717,2005
888718,2005
888719,2005
888720,2005
888741,2005
888742,2005
888743,2005
888744,2005
888745,2005
888746,2005
888747,2005
888748,2005
888749,2005
888750,2005
888751,2005
888752,2005
888753,2005
888754,2005
888755,2005
888756,2005
888757,2005
888758,2005
888759,2005
888760,2005
888761,2005
888762,2005
888763,2005
888764,2005
888765,2005
888766,2005
888767,2005
888768,2005
888769,2005
888770,2005
888832,2005
888833,2005
888834,2005
888835,2005
888841,2005
888842,2005
888843,2005
888844,2005
888845,2005
888846,2005
888847,2005
888848,2005
888849,2005
888850,2005
888853,2005
888854,2005
888856,2005
888857,2005
888858,2005
888863,2005
888865,2005
888867,2005
888869,2005
888874,2005
888876,2005
888877,2005
888878,2005
888879,2005
888885,2005
888892,2005
888894,2005
888897,2005
888901,2005
888902,2005
888909,2005
888921,2005
888922,2005
888923,2005
888924,2005
888925,2005
888926,2005
888927,2005
888928,2005
888929,2005
888930,2005
888931,2005
888932,2005
888933,2005
888934,2005
888935,2005
888936,2005
888937,2005
888938,2005
888939,2005
888940,2005
888941,2005
888942,2005
888943,2005
888944,2005
888951,2005
888952,2005
888953,2005
888954,2005
888955,2005
888956,2005
888957,2005
888958,2005
888959,2005
888960,2005
888965,2005
888966,2005
888971,2005
888972,2005
888973,2005
888974,2005
888975,2005
888976,2005
888977,2005
888978,2005
888979,2005
888991,2005
888992,2005
888993,2005
888996,2005
888997,2005
888998,2005
888999,2005
889000,2005
889001,2005
889002,2005
889003,2005
889004,2005
889005,2005
889006,2005
889007,2005
889008,2005
889009,2005
889010,2005
889011,2005
889012,2005
889013,2005
889014,2005
889015,2005
889016,2005
889017,2005
889018,2005
889019,2005
889020,2005
889031,2005
889032,2005
889033,2005
889034,2005
889035,2005
889036,2005
889037,2005
889038,2005
889039,2005
889040,2005
889041,2005
889042,2005
889043,2005
889044,2005
889045,2005
889046,2005
889047,2005
889048,2005
889049,2005
889050,2005
889081,2005
889082,2005
889083,2005
889084,2005
889085,2005
889086,2005
889087,2005
889088,2005
889089,2005
889090,2005
889091,2005
889092,2005
889093,2005
889094,2005
889095,2005
889096,2005
889097,2005
889098,2005
889099,2005
889101,2005
889102,2005
889103,2005
889104,2005
889105,2005
889106,2005
889107,2005
889108,2005
889109,2005
889110,2005
889131,2005
889132,2005
889133,2005
889134,2005
889136,2005
889137,2005
889138,2005
889141,2005
889143,2005
889144,2005
889146,2005
889147,2005
889153,2005
889154,2005
889156,2005
889157,2005
889161,2005
889162,2005
889163,2005
889164,2005
889165,2005
889166,2005
889167,2005
889168,2005
889169,2005
889170,2005
889181,2005
889182,2005
889183,2005
889184,2005
889186,2005
889187,2005
889188,2005
889189,2005
889190,2005
889191,2005
889192,2005
889193,2005
889194,2005
889195,2005
889196,2005
889197,2005
889198,2005
889199,2005
889200,2005
889211,2005
889212,2005
889213,2005
889214,2005
889215,2005
889216,2005
889217,2005
889218,2005
889219,2005
889221,2005
889222,2005
889223,2005
889224,2005
889225,2005
889226,2005
889227,2005
889228,2005
889229,2005
889230,2005
889231,2005
889232,2005
889233,2005
889234,2005
889235,2005
889236,2005
889237,2005
889238,2005
889239,2005
889240,2005
889241,2005
889242,2005
889243,2005
889244,2005
889245,2005
889246,2005
889247,2005
889248,2005
889249,2005
889250,2005
889251,2005
889252,2005
889253,2005
889254,2005
889255,2005
889256,2005
889257,2005
889258,2005
889259,2005
889260,2005
889261,2005
889262,2005
889263,2005
889264,2005
889265,2005
889266,2005
889267,2005
889268,2005
889269,2005
889270,2005
889271,2005
889272,2005
889273,2005
889274,2005
889275,2005
889276,2005
889277,2005
889278,2005
889279,2005
889280,2005
889311,2005
889312,2005
889313,2005
889314,2005
889315,2005
889316,2005
889317,2005
889318,2005
889319,2005
889320,2005
889321,2005
889322,2005
889323,2005
889324,2005
889325,2005
889326,2005
889327,2005
889328,2005
889329,2005
889330,2005
889331,2005
889332,2005
889333,2005
889334,2005
889335,2005
889336,2005
889337,2005
889338,2005
889339,2005
889340,2005
889404,2005
889471,2005
889472,2005
889473,2005
889474,2005
889475,2005
889476,2005
889477,2005
889478,2005
889479,2005
889480,2005
889481,2005
889482,2005
889483,2005
889484,2005
889485,2005
889486,2005
889487,2005
889488,2005
889490,2005
889491,2005
