USSCIDN,SENTYR
1106497,2007
1106498,2007
1106499,2007
1106500,2007
1106501,2007
1106502,2007
1106503,2007
1106504,2007
1106505,2007
1106506,2007
1106509,2007
1106510,2007
1106511,2007
1106512,2007
1106513,2007
1106514,2007
1106515,2007
1106517,2007
1106518,2007
1106519,2007
1106520,2007
1106521,2007
1106522,2007
1106523,2007
1106525,2007
1106526,2007
1106527,2007
1106528,2007
1106529,2007
1106530,2007
1106531,2007
1106532,2007
1106533,2007
1106534,2007
1106535,2007
1106536,2007
1106537,2007
1106538,2007
1106539,2007
1106540,2007
1106541,2007
1106542,2007
1106543,2007
1106544,2007
1106546,2007
1106547,2007
1106548,2007
1106550,2007
1106551,2007
1106553,2007
1106554,2007
1106555,2007
1106556,2007
1106557,2007
1106558,2007
1106559,2007
1106560,2007
1106561,2007
1106562,2007
1106563,2007
1106564,2007
1106565,2007
1106566,2007
1106567,2007
1106568,2007
1106569,2007
1106570,2007
1106571,2007
1106572,2007
1106573,2007
1106574,2007
1106575,2007
1106576,2007
1106577,2007
1106578,2007
1106579,2007
1106580,2007
1106581,2007
1106582,2007
1106583,2007
1106584,2007
1106585,2007
1106586,2007
1106587,2007
1106588,2007
1106589,2007
1106590,2007
1106591,2007
1106592,2007
1106593,2007
1106594,2007
1106595,2007
1106596,2007
1106597,2007
1106598,2007
1106600,2007
1106601,2007
1106602,2007
1106603,2007
1106604,2007
1106605,2007
1106606,2007
1106607,2007
1106608,2007
1106609,2007
1106610,2007
1106611,2007
1106612,2007
1106613,2007
1106614,2007
1106615,2007
1106616,2007
1106617,2007
1106618,2007
1106619,2007
1106620,2007
1106621,2007
1106622,2007
1106623,2007
1106624,2007
1106625,2007
1106626,2007
1106627,2007
1106628,2007
1106634,2007
1106637,2007
1106652,2007
1106670,2007
1106970,2007
1106977,2007
1107018,2007
1107273,2007
1107377,2007
1107587,2007
1107588,2007
1107589,2007
1107590,2007
1107591,2007
1107592,2007
1107593,2007
1107594,2007
1107595,2007
1107596,2007
1107597,2007
1107598,2007
1107599,2007
1107600,2007
1107601,2007
1107602,2007
1107603,2007
1107605,2007
1107607,2007
1107609,2007
1107610,2007
1107611,2007
1107612,2007
1107613,2007
1107615,2007
1107616,2007
1107617,2007
1107618,2007
1107619,2007
1107621,2007
1107622,2007
1107623,2007
1107624,2007
1107625,2007
1107626,2007
1107627,2007
1107628,2007
1107629,2007
1107630,2007
1107631,2007
1107632,2007
1107633,2007
1107634,2007
1107635,2007
1107636,2007
1107637,2007
1107638,2007
1107640,2007
1107641,2007
1107642,2007
1107643,2007
1107644,2007
1107645,2007
1107646,2007
1107648,2007
1107649,2007
1107650,2007
1107651,2007
1107653,2007
1107655,2007
1107656,2007
1107657,2007
1107659,2007
1107792,2007
1108017,2007
1108067,2007
1108069,2007
1108070,2007
1108072,2007
1108073,2007
1108074,2007
1108075,2007
1108174,2007
1108186,2007
1108187,2007
1108195,2007
1108220,2007
1108221,2007
1108222,2007
1108224,2007
1108225,2007
1108227,2007
1108229,2007
1108230,2007
1108232,2007
1108233,2007
1108235,2007
1108236,2007
1108237,2007
1108239,2007
1108241,2007
1108245,2007
1108246,2007
1108250,2007
1108251,2007
1108252,2007
1108254,2007
1108255,2007
1108256,2007
1108257,2007
1108258,2007
1108261,2007
1108262,2007
1108263,2007
1108264,2007
1108265,2007
1108266,2007
1108267,2007
1108268,2007
1108269,2007
1108270,2007
1108271,2007
1108272,2007
1108273,2007
1108274,2007
1108275,2007
1108276,2007
1108277,2007
1108278,2007
1108279,2007
1108280,2007
1108281,2007
1108282,2007
1108283,2007
1108284,2007
1108285,2007
1108286,2007
1108287,2007
1108288,2007
1108289,2007
1108290,2007
1108291,2007
1108292,2007
1108293,2007
1108294,2007
1108295,2007
1108296,2007
1108297,2007
1108298,2007
1108299,2007
1108300,2007
1108301,2007
1108302,2007
1108303,2007
1108304,2007
1108305,2007
1108306,2007
1108307,2007
1108308,2007
1108309,2007
1108310,2007
1108311,2007
1108312,2007
1108313,2007
1108314,2007
1108315,2007
1108316,2007
1108317,2007
1108318,2007
1108319,2007
1108320,2007
1108321,2007
1108322,2007
1108323,2007
1108325,2007
1108326,2007
1108327,2007
1108328,2007
1108329,2007
1108330,2007
1108331,2007
1108332,2007
1108333,2007
1108334,2007
1108335,2007
1108336,2007
1108337,2007
1108338,2007
1108339,2007
1108340,2007
1108341,2007
1108342,2007
1108343,2007
1108344,2007
1108345,2007
1108346,2007
1108347,2007
1108348,2007
1108349,2007
1108350,2007
1108351,2007
1108352,2007
1108353,2007
1108354,2007
1108355,2007
1108356,2007
1108357,2007
1108358,2007
1108359,2007
1108360,2007
1108361,2007
1108362,2007
1108363,2007
1108364,2007
1108365,2007
1108366,2007
1108367,2007
1108368,2007
1108369,2007
1108370,2007
1108371,2007
1108373,2007
1108375,2007
1108376,2007
1108377,2007
1108378,2007
1108379,2007
1108380,2007
1108381,2007
1108434,2007
1108449,2007
1108458,2007
1108513,2007
1108516,2007
1108517,2007
1108518,2007
1108520,2007
1108522,2007
1108525,2007
1108527,2007
1108528,2007
1108530,2007
1108531,2007
1108533,2007
1108534,2007
1108536,2007
1108537,2007
1108538,2007
1108539,2007
1108540,2007
1108541,2007
1108543,2007
1108544,2007
1108545,2007
1108548,2007
1108557,2007
1108559,2007
1108561,2007
1108562,2007
1108563,2007
1108566,2007
1108567,2007
1108568,2007
1108569,2007
1108570,2007
1108571,2007
1108573,2007
1108574,2007
1108575,2007
1108576,2007
1108577,2007
1108578,2007
1108579,2007
1108580,2007
1108581,2007
1108583,2007
1108584,2007
1108585,2007
1108586,2007
1108587,2007
1108588,2007
1108589,2007
1108590,2007
1108592,2007
1108593,2007
1108594,2007
1108595,2007
1108596,2007
1108597,2007
1108598,2007
1108599,2007
1108600,2007
1108601,2007
1108602,2007
1108603,2007
1108604,2007
1108605,2007
1108606,2007
1108607,2007
1108608,2007
1108609,2007
1108610,2007
1108611,2007
1108613,2007
1108614,2007
1108615,2007
1108616,2007
1108617,2007
1108618,2007
1108622,2007
1108623,2007
1108624,2007
1108625,2007
1108626,2007
1108627,2007
1108628,2007
1108629,2007
1108630,2007
1108631,2007
1108632,2007
1108633,2007
1108634,2007
1108635,2007
1108636,2007
1108637,2007
1108640,2007
1108641,2007
1108642,2007
1108643,2007
1108644,2007
1108645,2007
1108646,2007
1108647,2007
1108648,2007
1108649,2007
1108650,2007
1108651,2007
1108652,2007
1108653,2007
1108654,2007
1108656,2007
1108657,2007
1108658,2007
1108660,2007
1108661,2007
1108662,2007
1108663,2007
1108664,2007
1108665,2007
1108666,2007
1108667,2007
1108668,2007
1108669,2007
1108670,2007
1108671,2007
1108672,2007
1108673,2007
1108674,2007
1108675,2007
1108676,2007
1108679,2007
1108680,2007
1108682,2007
1108683,2007
1108684,2007
1108685,2007
1108686,2007
1108688,2007
1108689,2007
1108690,2007
1108691,2007
1108692,2007
1108693,2007
1108694,2007
1108697,2007
1108698,2007
1108699,2007
1108700,2007
1108701,2007
1108702,2007
1108703,2007
1108704,2007
1108705,2007
1108706,2007
1108707,2007
1108708,2007
1108709,2007
1108710,2007
1108711,2007
1108712,2007
1108713,2007
1108714,2007
1108715,2007
1108716,2007
1108717,2007
1108718,2007
1108719,2007
1108720,2007
1108721,2007
1108722,2007
1108723,2007
1108726,2007
1108801,2007
1108802,2007
1108855,2007
1108863,2007
1108864,2007
1108866,2007
1108867,2007
1108869,2007
1108870,2007
1108872,2007
1108873,2007
1108874,2007
1108875,2007
1108877,2007
1108880,2007
1108881,2007
1108882,2007
1108883,2007
1108884,2007
1108885,2007
1108887,2007
1108889,2007
1108890,2007
1108891,2007
1108892,2007
1108893,2007
1108894,2007
1108895,2007
1108896,2007
1108897,2007
1108898,2007
1108899,2007
1108900,2007
1108901,2007
1108902,2007
1108903,2007
1108904,2007
1108905,2007
1108906,2007
1108907,2007
1108908,2007
1108909,2007
1108910,2007
1108911,2007
1108912,2007
1108913,2007
1108914,2007
1108915,2007
1108918,2007
1108919,2007
1108926,2007
1108927,2007
1108928,2007
1108932,2007
1108933,2007
1108934,2007
1108935,2007
1108936,2007
1108937,2007
1108938,2007
1108939,2007
1108941,2007
1108942,2007
1108943,2007
1108945,2007
1108946,2007
1108947,2007
1108948,2007
1108949,2007
1108952,2007
1108953,2007
1108955,2007
1108956,2007
1108957,2007
1108958,2007
1108959,2007
1108960,2007
1108961,2007
1108962,2007
1108963,2007
1108964,2007
1108965,2007
1108966,2007
1108968,2007
1108969,2007
1108970,2007
1108971,2007
1108972,2007
1108973,2007
1108974,2007
1108975,2007
1108976,2007
1108977,2007
1108978,2007
1108980,2007
1108981,2007
1108982,2007
1108983,2007
1108984,2007
1108985,2007
1108986,2007
1108987,2007
1108988,2007
1108989,2007
1108994,2007
1109002,2007
1109007,2007
1109010,2007
1109011,2007
1109023,2007
1109057,2007
1109083,2007
1109085,2007
1109086,2007
1109088,2007
1109089,2007
1109090,2007
1109091,2007
1109092,2007
1109093,2007
1109094,2007
1109095,2007
1109096,2007
1109097,2007
1109098,2007
1109099,2007
1109101,2007
1109102,2007
1109103,2007
1109104,2007
1109105,2007
1109106,2007
1109107,2007
1109109,2007
1109110,2007
1109114,2007
1109115,2007
1109117,2007
1109118,2007
1109119,2007
1109120,2007
1109121,2007
1109123,2007
1109125,2007
1109126,2007
1109127,2007
1109128,2007
1109129,2007
1109130,2007
1109132,2007
1109133,2007
1109134,2007
1109135,2007
1109136,2007
1109137,2007
1109138,2007
1109139,2007
1109140,2007
1109142,2007
1109143,2007
1109144,2007
1109148,2007
1109149,2007
1109150,2007
1109151,2007
1109152,2007
1109153,2007
1109154,2007
1109155,2007
1109156,2007
1109157,2007
1109158,2007
1109159,2007
1109160,2007
1109161,2007
1109162,2007
1109163,2007
1109165,2007
1109166,2007
1109167,2007
1109170,2007
1109172,2007
1109174,2007
1109175,2007
1109176,2007
1109177,2007
1109179,2007
1109181,2007
1109182,2007
1109184,2007
1109190,2007
1109191,2007
1109193,2007
1109195,2007
1109197,2007
1109198,2007
1109199,2007
1109200,2007
1109201,2007
1109202,2007
1109203,2007
1109204,2007
1109209,2007
1109241,2007
1109242,2007
1109243,2007
1109244,2007
1109245,2007
1109246,2007
1109248,2007
1109250,2007
1109251,2007
1109253,2007
1109254,2007
1109255,2007
1109256,2007
1109257,2007
1109258,2007
1109259,2007
1109260,2007
1109261,2007
1109262,2007
1109263,2007
1109264,2007
1109265,2007
1109266,2007
1109267,2007
1109268,2007
1109269,2007
1109270,2007
1109271,2007
1109272,2007
1109273,2007
1109274,2007
1109275,2007
1109276,2007
1109277,2007
1109278,2007
1109279,2007
1109280,2007
1109281,2007
1109282,2007
1109284,2007
1109286,2007
1109287,2007
1109290,2007
1109291,2007
1109292,2007
1109293,2007
1109294,2007
1109295,2007
1109296,2007
1109297,2007
1109298,2007
1109299,2007
1109300,2007
1109301,2007
1109302,2007
1109303,2007
1109304,2007
1109305,2007
1109306,2007
1109307,2007
1109308,2007
1109309,2007
1109310,2007
1109311,2007
1109312,2007
1109313,2007
1109314,2007
1109315,2007
1109317,2007
1109318,2007
1109319,2007
1109321,2007
1109322,2007
1109323,2007
1109324,2007
1109325,2007
1109326,2007
1109327,2007
1109328,2007
1109329,2007
1109330,2007
1109331,2007
1109332,2007
1109333,2007
1109335,2007
1109336,2007
1109337,2007
1109339,2007
1109341,2007
1109342,2007
1109343,2007
1109345,2007
1109348,2007
1109349,2007
1109351,2007
1109353,2007
1109354,2007
1109355,2007
1109356,2007
1109357,2007
1109358,2007
1109359,2007
1109360,2007
1109361,2007
1109362,2007
1109363,2007
1109364,2007
1109365,2007
1109366,2007
1109367,2007
1109368,2007
1109369,2007
1109370,2007
1109371,2007
1109372,2007
1109373,2007
1109374,2007
1109375,2007
1109376,2007
1109377,2007
1109378,2007
1109379,2007
1109380,2007
1109381,2007
1109382,2007
1109383,2007
1109384,2007
1109385,2007
1109386,2007
1109387,2007
1109388,2007
1109389,2007
1109390,2007
1109391,2007
1109392,2007
1109393,2007
1109394,2007
1109395,2007
1109396,2007
1109397,2007
1109398,2007
1109399,2007
1109400,2007
1109401,2007
1109402,2007
1109404,2007
1109405,2007
1109406,2007
1109407,2007
1109408,2007
1109409,2007
1109410,2007
1109411,2007
1109412,2007
1109413,2007
1109414,2007
1109415,2007
1109416,2007
1109417,2007
1109418,2007
1109419,2007
1109420,2007
1109421,2007
1109422,2007
1109423,2007
1109424,2007
1109425,2007
1109426,2007
1109427,2007
1109428,2007
1109429,2007
1109430,2007
1109431,2007
1109432,2007
1109433,2007
1109434,2007
1109435,2007
1109436,2007
1109437,2007
1109438,2007
1109439,2007
1109440,2007
1109441,2007
1109442,2007
1109443,2007
1109444,2007
1109445,2007
1109446,2007
1109447,2007
1109448,2007
1109449,2007
1109451,2007
1109452,2007
1109453,2007
1109454,2007
1109455,2007
1109456,2007
1109457,2007
1109458,2007
1109459,2007
1109460,2007
1109461,2007
1109462,2007
1109464,2007
1109465,2007
1109466,2007
1109467,2007
1109468,2007
1109469,2007
1109470,2007
1109472,2007
1109473,2007
1109474,2007
1109475,2007
1109476,2007
1109477,2007
1109478,2007
1109479,2007
1109480,2007
1109481,2007
1109482,2007
1109483,2007
1109484,2007
1109485,2007
1109486,2007
1109487,2007
1109488,2007
1109489,2007
1109492,2007
1109493,2007
1109494,2007
1109495,2007
1109496,2007
1109497,2007
1109499,2007
1109500,2007
1109501,2007
1109502,2007
1109504,2007
1109505,2007
1109507,2007
1109509,2007
1109511,2007
1109512,2007
1109513,2007
1109515,2007
1109516,2007
1109517,2007
1109518,2007
1109519,2007
1109520,2007
1109521,2007
1109522,2007
1109523,2007
1109524,2007
1109525,2007
1109526,2007
1109527,2007
1109528,2007
1109529,2007
1109530,2007
1109531,2007
1109532,2007
1109533,2007
1109534,2007
1109535,2007
1109536,2007
1109537,2007
1109538,2007
1109539,2007
1109540,2007
1109541,2007
1109542,2007
1109543,2007
1109544,2007
1109545,2007
1109546,2007
1109547,2007
1109548,2007
1109549,2007
1109550,2007
1109551,2007
1109552,2007
1109553,2007
1109554,2007
1109555,2007
1109556,2007
1109557,2007
1109558,2007
1109559,2007
1109560,2007
1109561,2007
1109562,2007
1109563,2007
1109564,2007
1109565,2007
1109566,2007
1109567,2007
1109568,2007
1109569,2007
1109570,2007
1109571,2007
1109572,2007
1109573,2007
1109574,2007
1109575,2007
1109576,2007
1109577,2007
1109578,2007
1109579,2007
1109580,2007
1109582,2007
1109583,2007
1109584,2007
1109585,2007
1109586,2007
1109587,2007
1109588,2007
1109589,2007
1109590,2007
1109591,2007
1109592,2007
1109593,2007
1109594,2007
1109595,2007
1109596,2007
1109597,2007
1109598,2007
1109599,2007
1109600,2007
1109601,2007
1109602,2007
1109603,2007
1109604,2007
1109605,2007
1109606,2007
1109607,2007
1109608,2007
1109609,2007
1109610,2007
1109611,2007
1109612,2007
1109613,2007
1109614,2007
1109615,2007
1109616,2007
1109617,2007
1109618,2007
1109619,2007
1109620,2007
1109621,2007
1109622,2007
1109623,2007
1109624,2007
1109625,2007
1109626,2007
1109627,2007
1109628,2007
1109629,2007
1109630,2007
1109631,2007
1109632,2007
1109633,2007
1109634,2007
1109635,2007
1109636,2007
1109637,2007
1109638,2007
1109639,2007
1109640,2007
1109697,2007
1109698,2007
1109699,2007
1109700,2007
1109703,2007
1109704,2007
1109705,2007
1109706,2007
1109707,2007
1109708,2007
1109709,2007
1109710,2007
1109711,2007
1109714,2007
1109715,2007
1109716,2007
1109717,2007
1109718,2007
1109719,2007
1109720,2007
1109721,2007
1109722,2007
1109723,2007
1109724,2007
1109725,2007
1109726,2007
1109727,2007
1109728,2007
1109729,2007
1109730,2007
1109731,2007
1109732,2007
1109733,2007
1109734,2007
1109735,2007
1109736,2007
1109737,2007
1109738,2007
1109739,2007
1109740,2007
1109741,2007
1109742,2007
1109743,2007
1109744,2007
1109745,2007
1109746,2007
1109747,2007
1109748,2007
1109749,2007
1109750,2007
1109751,2007
1109752,2007
1109753,2007
1109754,2007
1109755,2007
1109756,2007
1109757,2007
1109758,2007
1109759,2007
1109760,2007
1109761,2007
1109762,2007
1109763,2007
1109764,2007
1109765,2007
1109766,2007
1109767,2007
1109768,2007
1109769,2007
1109770,2007
1109771,2007
1109772,2007
1109773,2007
1109774,2007
1109775,2007
1109776,2007
1109777,2007
1109778,2007
1109779,2007
1109780,2007
1109781,2007
1109782,2007
1109783,2007
1109784,2007
1109785,2007
1109786,2007
1109787,2007
1109788,2007
1109789,2007
1109790,2007
1109791,2007
1109792,2007
1109793,2007
1109794,2007
1109795,2007
1109796,2007
1109797,2007
1109798,2007
1109799,2007
1109800,2007
1109801,2007
1109802,2007
1109803,2007
1109804,2007
1109805,2007
1109806,2007
1109807,2007
1109808,2007
1109809,2007
1109810,2007
1109811,2007
1109812,2007
1109813,2007
1109814,2007
1109816,2007
1109817,2007
1109818,2007
1109819,2007
1109820,2007
1109821,2007
1109822,2007
1109823,2007
1109824,2007
1109825,2007
1109826,2007
1109827,2007
1109828,2007
1109829,2007
1109830,2007
1109831,2007
1109832,2007
1109833,2007
1109834,2007
1109835,2007
1109836,2007
1109837,2007
1109838,2007
1109840,2007
1109841,2007
1109842,2007
1109843,2007
1109844,2007
1109845,2007
1109846,2007
1109847,2007
1109848,2007
1109849,2007
1109850,2007
1109852,2007
1109853,2007
1109854,2007
1109855,2007
1109856,2007
1109857,2007
1109858,2007
1109859,2007
1109860,2007
1109861,2007
1109862,2007
1109863,2007
1109864,2007
1109865,2007
1109866,2007
1109867,2007
1109868,2007
1109869,2007
1109870,2007
1109871,2007
1109872,2007
1109873,2007
1109874,2007
1109875,2007
1109876,2007
1109877,2007
1109878,2007
1109879,2007
1109880,2007
1109881,2007
1109882,2007
1109883,2007
1109884,2007
1109886,2007
1109887,2007
1109888,2007
1109889,2007
1109890,2007
1109891,2007
1109892,2007
1109893,2007
1109894,2007
1109895,2007
1109896,2007
1109897,2007
1109898,2007
1109899,2007
1109900,2007
1109901,2007
1109902,2007
1109903,2007
1109904,2007
1109905,2007
1109906,2007
1109907,2007
1109908,2007
1109909,2007
1109910,2007
1109911,2007
1109912,2007
1109913,2007
1109914,2007
1109915,2007
1109916,2007
1109917,2007
1109918,2007
1109919,2007
1109920,2007
1109921,2007
1109922,2007
1109923,2007
1109924,2007
1109925,2007
1109926,2007
1109927,2007
1109928,2007
1109929,2007
1109930,2007
1109931,2007
1109932,2007
1109933,2007
1109934,2007
1109936,2007
1109937,2007
1109938,2007
1109939,2007
1109940,2007
1109941,2007
1109942,2007
1109943,2007
1109944,2007
1109945,2007
1109946,2007
1109947,2007
1109949,2007
1109950,2007
1109951,2007
1109952,2007
1109953,2007
1109954,2007
1109955,2007
1109956,2007
1109957,2007
1109958,2007
1109959,2007
1109960,2007
1109961,2007
1109962,2007
1109963,2007
1109964,2007
1109965,2007
1109966,2007
1109967,2007
1109968,2007
1109969,2007
1109971,2007
1109972,2007
1109973,2007
1109974,2007
1109975,2007
1109976,2007
1109977,2007
1109979,2007
1109980,2007
1109981,2007
1109982,2007
1109983,2007
1109984,2007
1109985,2007
1109986,2007
1109987,2007
1109988,2007
1109989,2007
1109990,2007
1109991,2007
1109992,2007
1109993,2007
1109995,2007
1109996,2007
1109997,2007
1109998,2007
1109999,2007
1110000,2007
1110001,2007
1110002,2007
1110003,2007
1110004,2007
1110005,2007
1110006,2007
1110007,2007
1110008,2007
1110009,2007
1110010,2007
1110011,2007
1110012,2007
1110013,2007
1110014,2007
1110015,2007
1110016,2007
1110017,2007
1110018,2007
1110019,2007
1110020,2007
1110021,2007
1110022,2007
1110023,2007
1110024,2007
1110025,2007
1110026,2007
1110027,2007
1110028,2007
